" |text снег весь дербышка вывозить комп район снт смородинка идти загрязнение почва леса"
" |text несанкционированный выброс строительный мусор"
" |text район пешеходный тротуар протяжение несколько месяц происходить выброс канализационный стоковый приводить загрязнение окружающий среда"
" |text возле детский центр валяться ртутный лампа"
" |text гора снег ряд парковка республиканский клинический больница просить принять меря"
" |text работник суварстроить складировать строительный мусор зеленый зона самый причинять ущерб экология"
" |text бровецкия мост ряд речка свалка мусор нужный помощь очистка территория весь мусор ветер нести речка"
" |text большой свалка бытовой отход строительный мусор остаток шкура крупный рогатый скот запах потепление сногсшибательный"
" |text стройка свалить возле снт куча мусор"
" |text необходимый убрать разбросать мусор улица затонскай возле лесной массив"
" |text несанкционированный свалка весь мусор попадать озеро забивать дренажный система поселок васильево вокруг прилегать территория также устроить свалка"
" |text весь зима дорога казань свозить снег пропитать реагент автомобильный масло временной хранение жижа таять отравлять природа"
" |text посмотреть пожалуйста фото стать снег который возить город овраг вдоль улица крылов гора черный снег таять вод грязь мусор подниматься затопить наш огород должный это дышать экология наш здоровье опасность принять мера"
" |text доля лесопосадка вывалить строительный бытовой мусор количество больший куча куча находиться друг друг метр среди мусор найти документ страховой полис договор кредит платежный чек пригодиться"
" |text улица рабочий молодежь недалеко дом ежегодно сход снег наблюдать огромный несанкционированный свалка фото прилагаться целое мусор вокруг овраг возможно свалка устраивать жилец частное сектор выкидывать мусор"
" |text несанкционированный свалка овраг напротив далее татцик ул советский далее вблизи жилой дом заповедный зона просить принять мера ликвидация также обозначить данный территория соответствующий знак запрет выброс мусор овражный зона"
" |text въезд гаражный кооператив камаз справа свалка разбросать металлолом часть грузовик двигатель мост плата устроить авторазбор связь это почва выливаться горючий смазозочный материал ряд авто заправка весь это взрывоопасный повтор наркшение"
" |text год подряд зимний период пол город вывозить снег весной снег таять мусор привезти вместе оставаться данный момент образоваться свалка вопрос минэкология убирать свалка это загрязнение природа"
" |text добрый день просьба ликвидировать свалка строительный мусор напротив кладбище киндери лесополоса около дорога"
" |text район ул метр миля мост около также около уфмс сторона строиться адм здание автомойка постоянно образоваться стихийный свалка строительный прочее мусор старание несознательный гражданин пользоваться отсутствие видеокамера фотоловушка"
" |text складирование крупногабаритный мусор территория школа танец"
" |text свалка строительный мусор непосредственный близость мировой суд советский район латышский стрелковый"
" |text время уборка овраг найти около люминесцентный лампа разбитый остальной целое представлять опасность просьба вывезти"
" |text въезд поселок мирный лес устроить свалка мусор пакет"
" |text въезд поселок мк западный сторона пр строитель очень мусор бытовой строительный сильный ветер мусор разлетаться весь поселок просить устранить нарушение"
" |text мусор вдоль река нокса"
" |text свалка мусор здание сельский совет ремонт весь мусор оказаться"
" |text добрый день просьба ликвидировать свалка строительный мусор около лесопосадка заезд новое кладбище"
" |text свалка въезд поселок прямо магазин развязка дорога"
" |text мусорный свалка около метр находиться жилой строение улица мир"
" |text гаражный комплекс маяк свалка мусор который периодически сжигать"
" |text ликвилировать пожалуйста свалка дорога"
" |text житель ближний дом возмутить возле устроить свалка строительный мусор свалка давно никто дело просить срочно принять мера"
" |text ряд р марас деревня сельцо кульбаево марас нурлатский район рт обнаружить несанкционированный свалка который портить экология иметься угроза загрязнение вода речка марас просьба принять мера"
" |text сесть кульбаево марас нурлатский район сторона деревня нариманов обнаружить огромный свалка мусор навоз стройматериал который тлеть выделять неприятный запах самый портить экология воздух просьба принять мера"
" |text убрать гора разнообразный мусор смешанный снег"
" |text самовольный складирование жилец индивидуальный жилой дом зеленый зона прилегать проезжий часть ул клубный отход жизнедеятельность крс"
" |text свалка мусор житель поселок новый вываливать строительный бытовой мусор"
" |text возле кладбище тропинка образоваться свалка убрать"
" |text километр автодорога сокура кирби направление кирби пол недалеко дорога обнаружить несанкционированный свалка влиять негативный образ экологический состояние территория просить принять мера ликвидация свалка"
" |text мусор кладбище который расположить берег волга сваливаться ближний овраг периметр каждый год администрация бездействовать природа загрязняться"
" |text образовать незаконный свалка просить принять мера"
" |text возле р сула берег выгрузить камаз мусор"
" |text территория бывший военный госпиталь близкий дом волков организовать свалка мусор"
" |text достаточно большой свалка мусор основное строительный отход"
" |text ряд бывший комплекс крс образоваться большой свалка мусор просить навести порядок"
" |text строительство экспо пол остаться мусор строительный зима весь оттаять ветер разносить мусор поль"
" |text добрый день просить обратить внимание принять необходимый мера незаконный свалка строительный бытовой мусор въезд борисоглебский кладбище"
" |text улица превратиться свалка житель организовать свалка строительный мусор ветка"
" |text свалка мусор стоить старый жила дом семья забросать мусор очень мусор сплошной мешок мусор очень бутылка ужасный зрелище"
" |text очень большой свалка открытый место"
" |text леса свалка тко строительный мусор объем около грузовой борт"
" |text свалить бетонный мусор торчать арматуромить берег волга"
" |text просить рассмотреть возможность убрать свалка столбище магазин эдельвейс напротив дом ул лесхозовский овраг среди дерево"
" |text жк акварель дом посадка березовый роща устроить строительный свалка ранее обращаться прийти отчет свалка ликвидировать воз ныне принять мера"
" |text складирование мусор гараж"
" |text свалка мусор гараж"
" |text свалка мусор парка"
" |text свалка мусор дорога пол это место убирать мусор камаз экскаватор видеть участок подобрать"
" |text обнаружить несанкционированный недалеко караишево просить принять мера фото высылать геотег также фото"
" |text протяжение х год поль вокруг наш деревня вывозиться птичий помета птицефабрика поселок год октябрь складироваться огромный куча резкий запах аммиак каждый год количество вывозить навоз увеличиваться запах муха невозможно открыть окно"
" |text набережная плита положить вода спуск плав средство вода преднамеренно свалить куча мусор именно мусор приложить фото видно куча всякий хлам который размываться попадать вода это негативно отражаться экология"
" |text напротив инженерный строительный факультет кфу сваливать мусор пусть вывезти"
" |text строительный мусор вдоль лесопосадка"
" |text большой овраг нкст луч который прошлое незаконно вывозиться песок сюда периодически сбрасывать строительный мусор поворот направо поворот жирокомбинат упор конец"
" |text просить убрать мусор берег река ик зона отдых садак понимать это сделать человек это печально возможно ваш уборка человек изменить свой мнение природа образ жизнь"
" |text незаконный свалка мусор локаторный улица"
" |text куча мусор расположить возле грунтовый дорога необходимый очистить территория бытовой мусор"
" |text несколько свалка леса вдоль дорога основное доска мебель старое вещий грунт видимо ряд сносить старое дача выкидывать мусор далеко возить объесть свалка камаз стоялый шлагбаум вьездом лес сломать"
" |text большой количество вываливаться строительный мусор разбор дом признанный аварийный вблизи жилой массив пол чудо завод оао змз опасность возгорание свалка это место недопустимый"
" |text появиться новый свалка лесной массив материал разлагаться портить вид санитарный состояние"
" |text снос аварийный дом сюда свозиться строительный мусор должный"
" |text несколько машина строительный мусор посадка"
" |text мусор гараж свалить около леса"
" |text устройство несанкционированный выезд стройка дом мусор овраг вывезти дом ул новатор"
" |text ряд садовый общество восход сваливать мусор овраг ряд протекать речка пусть вывезти мусор закапывать"
" |text сзади вокруг территория кладбище огромный свалка это весь улетать казанка"
" |text мусор берег озеро необходимый вывезти утилизировать"
" |text сюда незаконно камаз свозиться просто сваливаться строительный прочий крупный мусор больший масштаб необходимый пресечь данный безобразие"
" |text огромный куча бетонный плита убрать"
