index;top_0;top_1;top_2;top_3;top_4;top_5;top_6;top_7;top_8;top_9
sbj0;ул:0.111;пешеходный:0.051;часть:0.046;проезжий:0.039;переход:0.033;пешеход:0.028;перекресток:0.022;люк:0.02;дорожка:0.019;колодец:0.015
sbj1;сторона:0.061;остановка:0.057;автобус:0.025;маршрут:0.019;проспект:0.018;транспорт:0.018;номер:0.014;пр:0.013;водитель:0.01;победа:0.009
sbj2;мусор:0.085;убрать:0.058;знак:0.034;вдоль:0.034;около:0.033;свалка:0.031;забор:0.022;газон:0.019;зона:0.017;зеленый:0.016
sbj3;тротуар:0.073;ребенок:0.046;очень:0.043;ходить:0.039;человек:0.033;детский:0.031;грязь:0.03;площадка:0.025;очистить:0.023;школа:0.022
sbj4;дорога:0.139;ям:0.053;ремонт:0.041;асфальт:0.039;дорожный:0.029;участок:0.027;покрытие:0.021;состояние:0.017;дорога:0.016;проезд:0.016
sbj5;год:0.084;это:0.066;просьба:0.046;сделать:0.04;работа:0.027;демонтировать:0.02;фото:0.012;еще:0.012;почему:0.011;проблема:0.01
sbj6;дом:0.099;улица:0.09;весь:0.058;двор:0.032;машина:0.027;невозможно:0.023;большой:0.023;снег:0.021;далее:0.019;подъезд:0.016
sbj7;район:0.073;казань:0.066;заявка:0.047;решить:0.043;округ:0.042;татарстан:0.033;приволжский:0.033;благоустройство:0.032;городской:0.03;муниципальный:0.027
sbj8;необходимый:0.082;установить:0.046;освещение:0.03;фонарь:0.03;возле:0.027;мочь:0.026;отсутствовать:0.024;время:0.023;дерево:0.022;восстановить:0.02
sbj9;просить:0.116;территория:0.055;принять:0.027;место:0.027;дать:0.023;данный:0.018;привести:0.017;мера:0.016;парковка:0.014;магазин:0.013
