" |text необходимый устранить шакал избежание летальный исход"
" |text нежный отлов собака город"
" |text нужный отлов пока нибыть покупать"
" |text ост ферма жить целый стая собака взрослый щенок около нападать человек собака бегать жк соловьиный роща сказочный лес принять пожалуйста мера нападение серьезный последствие писать ответить поймать собака весь собака место ужас"
" |text пос залесный улица осиновский появиться стая бездомный собака собака очень большой"
" |text администрация конец конец среагировать обращение гражданин писать выше услышать улица невозможно ходить стая собака накинуться сноха прокусить сапог это дочь ребенок ходить школа ждать смерть сначала загрызть"
" |text вновь появиться стая больший бездомный собака ходить возле мусорк штука ребенок взрослый бояться выходить улица собака большой среди девочка это значит собака адекватный агрессивный просьба разобраться ходить школа работа собака кидаться человек"
" |text огромный стая собака улица мешать жить писать сюда безрезультатно городской служба делать вид отлавливать собака дело оставаться надеяться помочь избавить надоедливый собака видео лаять https недоверие сомнение youtu thnfqnopj k"
" |text бездомный собака носиться улица чапаев сегодня возвращение гараж около бездомный собака укусить левый нога место нападение указать рис сфотографировать собака возможность время поздний примерный территория дислокация фо"
" |text мк ново северный кариес включая собираться стая собака шт пугать ребенок"
" |text день район дом столичный бродить стая агрессивный собака местный паблик зеленодольск life выложить видео фото человек который просить помощь прохожий который отоковать стая ребенок гулять лыжа страшно"
" |text послать улица ребенок напасть свернуть улица около собака"
" |text каждый день заправляться заправка татнефтепродукт территория жить собака машина страшно выходить лаять кидаться вчера наброситься женщина который приехать заправлиться пожалуйста принять мера"
" |text крупный собака обычно находиться район далее магазин пятерочка ул журналист далее пионерский возле школа двор далее журналист лаять прохожий бежать человек"
" |text идти работа сегодня год напасть собака"
" |text возле дом поселиться бродячий собака который активизироваться темный время сутки свой лай мешать спать часто лаять забросить здание напротив го дом бывать особый лай стабильно каждый ночь"
" |text сегодня бездомный собака наброситься ребенок укусить нога обращаться"
" |text возле дом агрызский ходить стая бездомный собака"
" |text плата восточный бегать стая бродячий собака наш ребенок возвращаться домой школа вечером опасный гулять ро улица просить принять мера обезвреживание дать дикий животное"
" |text дворняга лето вырасти внушительный размер постоянно находиться близость школа давать проход прохожий кусать ул кызыл армейский очень сильно лаять также нападать ребенок человек выгуливать свой собака весь жить открытый база кызыл армескай"
" |text добрый день просить помощь связь толпа собака бродить поселок восточный взрослый ребенок опасность"
" |text стая бродячий злой собака давать покой житель близлежащий дом кормиться мусорный бак"
