index;top_0;top_1;top_2;top_3;top_4;top_5;top_6;top_7;top_8;top_9
sbj0;ребенок:0.072;собака:0.062;принять:0.043;школа:0.033;день:0.026;мера:0.024;бездомный:0.022;стая:0.02;мера:0.02;пожалуйста:0.018
sbj1;дом:0.151;ул:0.095;двор:0.054;возле:0.034;детский:0.034;далее:0.029;около:0.027;площадка:0.027;подъезд:0.025;напротив:0.018
sbj2;мусор:0.077;убрать:0.071;остановка:0.029;забор:0.027;газон:0.022;зона:0.019;свалка:0.017;контейнер:0.017;зеленый:0.017;мусорный:0.016
sbj3;тротуар:0.078;ходить:0.045;часть:0.039;человек:0.036;сторона:0.036;пешеходный:0.035;проезжий:0.034;грязь:0.028;вдоль:0.027;очистить:0.026
sbj4;ям:0.056;ремонт:0.044;асфальт:0.041;участок:0.028;дорожный:0.025;покрытие:0.022;состояние:0.018;дорога:0.018;проезд:0.018;отремонтировать:0.016
sbj5;дорога:0.14;весь:0.064;год:0.055;снег:0.052;это:0.044;сделать:0.024;чистить:0.018;работа:0.016;каждый:0.016;новый:0.01
sbj6;машина:0.049;очень:0.047;невозможно:0.044;большой:0.037;пройти:0.029;огромный:0.027;проехать:0.027;лужа:0.024;образоваться:0.021;дождь:0.021
sbj7;район:0.074;казань:0.053;заявка:0.05;решить:0.046;муниципальный:0.035;округ:0.033;татарстан:0.031;город:0.028;благоустройство:0.027;городской:0.025
sbj8;необходимый:0.082;установить:0.036;мочь:0.032;освещение:0.031;фонарь:0.031;дерево:0.024;время:0.023;отсутствовать:0.022;восстановить:0.02;опасный:0.02
sbj9;территория:0.071;место:0.034;дать:0.027;данный:0.023;привести:0.022;парковка:0.019;магазин:0.019;уборка:0.017;демонтировать:0.017;земля:0.016
