index;Исполнительный комитет;Администрация;Министерство здравоохранения;Муниципальное образование город;Управление административно технической инспекции;Комитет жилищно коммунального хозяйства;Комитет внешнего благоустройства;ООО Твои мобильные технологии;МБУ Дирекция парков скверов;Министерство внутренних дел;Управление Роспотребнадзор по РТрт;Управление наружной рекламы информации Исполнительного комитета муниципального образования города;Комитет по транспорту;Министерство спорта;Министерство транспорта дорожного хозяйства;ООО Управляющая компания Уютный дом;Исполнительный комитет Елабуга;Управление Роспотребнадзор;МУП Метроэлектротранс;Комитет земельных имущественных отношений;Комитет потребительского рынка;Государственное казенное учреждение Главное управление содержания развития дорожно транспортного комплекса при Министерстве транспорта дорожного хозяйства;Управление образования ИКМО;Комитет физической культуры спорта;МКУ Организатор пассажирских перевозок;Управление капитального строительства реконструкции;МКУ Автоматизированная система управления дорожным движением;Исполнительный комитет Казани;УФПС Татарстан Почтасы филиал ФГУП Почта России;ПАО МегаФон;Центральное территориальное управление Минэкологии;Неизвестный исполнитель;ООО УК ЖКХ;ООО Скартел;Управление информационных технологий связи;Административная комиссия Казани;МКУ Организатор городского парковочного пространства;ПАО Мобильные ТелеСистемы;Управление культуры;Министерство цифрового развития государственного управления информационных технологий связи;Управление Росприроднадзора;Закамское Территориальное Управление МЭПР РТ;Министерство строительства архитектуры жилищно коммунального хозяйства;ПАТП;ООО Мобайл;Волжско Камское территориальное управление МЭПР;Комитет по охране объектов культурного нaследия;ПАО ВымпелКом;Управление градостроительных разрешений;Прикамское территориальное управление МЭПР;Филиал РТРС РТПЦ;Министерство культуры;МУП Пассажирское автотранспортное предприятие Казань ул Крылова;Муниципальное Учреждение Исполнительный комитет;Инспекция Государственного строительного надзора;Управление архитектуры градостроительства;Министерство земельных имущественных отношений;ФГБОУ ВО Поволжская академия физической культуры спорта туризма;Управление Федеральной антимонопольной службы;Министерство лесного хозяйства;Администрация администрация;Администрация администрация ;Муниципальное казенное учреждение Управление по организации ритуальных услуг Исполнительного комитета муниципального образования города;ООО УК Старый город;Служба поддержки;Заволжское территориальное управление МЭПР;Министерство труда занятости социальной защиты;Министерство информатизации связи;Управление наружной рекламы информации;ГУ Управление Государственной безопасности дорожного движения МВД;Дирекция парков скверов Казани;Администрацияное инвестиционно строительное Управление;Юго Восточное территориальное управление МЭПР;Управление Федеральной службы по ветеринарному фитосанитарному надзору;УФПС Татарстан Почтасы;МКУ Автоматизированная система управления дорожным движением Казани;МКУ Управление наружной рекламы информации ИКМО;Приикское территориальное управление МЭПР;Министерство по делам гражданской обороны чрезвычайным ситуациям;Министерство экологии природных ресурсов;Северное территориальное управление МЭПР;Палата земельных имущественных отношений Альметьевского МР РТ
sbj0;0.273;0.302;0.02;0.138;0.011;0.026;0.05;0.002;0.007;0.001;0.0;0.01;0.018;0.0;0.002;0.026;0.006;0.013;0.008;0.004;0.002;0.018;0.006;0.0;0.0;0.0;0.015;0.002;0.002;0.001;0.004;0.003;0.003;0.0;0.003;0.0;0.001;0.001;0.001;0.001;0.003;0.0;0.001;0.002;0.002;0.0;0.002;0.003;0.0;0.001;0.0;0.0;0.001;0.0;0.0;0.002;0.0;0.0;0.0;0.001;0.0;0.0;0.0;0.002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj1;0.263;0.302;0.025;0.142;0.017;0.036;0.036;0.003;0.007;0.0;0.0;0.003;0.033;0.0;0.002;0.017;0.015;0.007;0.007;0.004;0.003;0.024;0.004;0.001;0.003;0.0;0.013;0.001;0.002;0.001;0.007;0.004;0.002;0.0;0.003;0.0;0.001;0.002;0.001;0.003;0.001;0.0;0.0;0.001;0.001;0.0;0.0;0.0;0.0;0.001;0.0;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj2;0.274;0.281;0.018;0.149;0.021;0.047;0.047;0.003;0.006;0.001;0.0;0.009;0.019;0.0;0.001;0.017;0.008;0.005;0.008;0.005;0.005;0.019;0.005;0.0;0.003;0.001;0.017;0.001;0.001;0.0;0.007;0.003;0.003;0.0;0.006;0.0;0.001;0.0;0.0;0.002;0.001;0.002;0.0;0.001;0.0;0.002;0.001;0.001;0.0;0.002;0.0;0.0;0.001;0.0;0.0;0.0;0.0;0.001;0.0;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj3;0.26;0.297;0.022;0.13;0.021;0.043;0.044;0.003;0.004;0.001;0.0;0.007;0.022;0.001;0.004;0.028;0.008;0.008;0.01;0.002;0.001;0.014;0.003;0.0;0.003;0.001;0.023;0.003;0.001;0.0;0.007;0.004;0.005;0.0;0.004;0.0;0.0;0.002;0.0;0.002;0.0;0.001;0.001;0.002;0.0;0.0;0.0;0.001;0.0;0.003;0.0;0.0;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.001;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj4;0.271;0.288;0.026;0.121;0.015;0.032;0.042;0.001;0.01;0.0;0.0;0.006;0.029;0.0;0.005;0.029;0.006;0.008;0.007;0.003;0.005;0.027;0.006;0.0;0.003;0.002;0.016;0.002;0.003;0.0;0.003;0.003;0.007;0.001;0.008;0.002;0.0;0.003;0.0;0.001;0.002;0.0;0.0;0.003;0.001;0.0;0.0;0.0;0.001;0.0;0.001;0.0;0.0;0.0;0.0;0.001;0.0;0.0;0.0;0.001;0.001;0.0;0.0;0.002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj5;0.279;0.294;0.031;0.138;0.012;0.039;0.041;0.002;0.005;0.0;0.0;0.008;0.019;0.0;0.006;0.017;0.008;0.009;0.003;0.005;0.005;0.017;0.003;0.0;0.003;0.0;0.015;0.0;0.002;0.001;0.006;0.003;0.006;0.0;0.006;0.0;0.002;0.0;0.001;0.001;0.003;0.002;0.0;0.001;0.001;0.0;0.0;0.0;0.0;0.002;0.001;0.001;0.001;0.001;0.0;0.001;0.0;0.0;0.0;0.001;0.0;0.0;0.0;0.0;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj6;0.285;0.303;0.015;0.142;0.018;0.039;0.043;0.002;0.005;0.001;0.0;0.007;0.023;0.0;0.004;0.016;0.009;0.007;0.007;0.004;0.004;0.01;0.004;0.001;0.004;0.001;0.011;0.001;0.001;0.0;0.005;0.004;0.005;0.001;0.003;0.0;0.001;0.001;0.001;0.002;0.002;0.0;0.001;0.001;0.0;0.0;0.0;0.001;0.0;0.001;0.001;0.001;0.0;0.001;0.001;0.001;0.001;0.0;0.0;0.0;0.0;0.0;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj7;0.252;0.252;0.02;0.166;0.013;0.06;0.02;0.0;0.0;0.007;0.0;0.026;0.007;0.0;0.013;0.02;0.007;0.007;0.007;0.0;0.0;0.046;0.007;0.0;0.007;0.007;0.02;0.007;0.0;0.0;0.0;0.007;0.007;0.0;0.0;0.007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj8;0.288;0.289;0.014;0.127;0.016;0.039;0.041;0.0;0.009;0.0;0.001;0.003;0.025;0.0;0.004;0.022;0.004;0.009;0.007;0.005;0.004;0.022;0.002;0.001;0.003;0.001;0.021;0.002;0.001;0.001;0.006;0.003;0.006;0.0;0.007;0.0;0.001;0.002;0.001;0.001;0.002;0.001;0.0;0.001;0.0;0.001;0.0;0.0;0.001;0.001;0.001;0.001;0.001;0.0;0.0;0.002;0.0;0.0;0.0;0.002;0.0;0.0;0.0;0.001;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj9;0.255;0.304;0.029;0.135;0.015;0.04;0.04;0.001;0.004;0.001;0.0;0.006;0.03;0.0;0.007;0.018;0.01;0.007;0.007;0.002;0.002;0.016;0.003;0.0;0.002;0.001;0.02;0.001;0.004;0.0;0.003;0.004;0.007;0.001;0.008;0.0;0.001;0.0;0.0;0.004;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.0;0.0;0.0;0.0;0.001;0.0;0.0;0.001;0.0;0.0;0.001;0.001;0.001;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
