index;top_0;top_1;top_2;top_3;top_4;top_5;top_6;top_7;top_8;top_9
sbj0;необходимый:0.103;ул:0.101;далее:0.036;вдоль:0.033;газон:0.03;пешеходный:0.026;очистить:0.025;трава:0.023;метр:0.018;провести:0.015
sbj1;двор:0.085;территория:0.081;снег:0.055;подъезд:0.041;машина:0.03;часть:0.025;проезжий:0.019;парковка:0.017;уборка:0.016;житель:0.014
sbj2;мусор:0.125;убрать:0.077;около:0.03;контейнер:0.028;свалка:0.027;мусорный:0.024;мусор:0.022;лежать:0.02;остановка:0.015;строительный:0.014
sbj3;это:0.058;ребенок:0.053;тротуар:0.045;очень:0.04;ходить:0.028;человек:0.027;день:0.02;невозможно:0.02;школа:0.018;стоить:0.016
sbj4;мочь:0.048;опасный:0.034;зеленый:0.03;зона:0.03;упасть:0.025;требовать:0.02;сломать:0.02;опора:0.018;торчать:0.016;вид:0.016
sbj5;год:0.072;работа:0.027;ремонт:0.026;сделать:0.024;восстановить:0.023;асфальт:0.016;ям:0.014;труба:0.012;еще:0.011;покрытие:0.011
sbj6;дерево:0.087;принять:0.044;большой:0.034;ветка:0.031;мера:0.026;убирать:0.026;мера:0.021;ветер:0.019;спилить:0.018;никто:0.017
sbj7;казань:0.054;район:0.053;заявка:0.048;решить:0.035;благоустройство:0.03;татарстан:0.027;город:0.026;округ:0.025;муниципальный:0.024;приволжский:0.02
sbj8;улица:0.093;освещение:0.061;фонарь:0.056;установить:0.052;столб:0.038;время:0.031;уличный:0.027;отсутствовать:0.027;гореть:0.024;напротив:0.021
sbj9;площадка:0.062;детский:0.058;забор:0.02;демонтировать:0.02;привести:0.02;находиться:0.019;дать:0.019;наш:0.019;грязь:0.018;данный:0.016
