" |text засыпать грунт пойменный участок река казанка"
" |text приложить фото теча также сравнение участок слив устойчивый образоваться ледовый покров погодный условие"
" |text набережная кабан пахнуть канализация идти слив озеро фото проталина скорее стекать канализационный сток просьба разобраться"
" |text год обед кататься конек обед вместо каток вод запах канализация лед бить фонтан видео"
" |text связь неисправность канализация идти сброс сточный вод река нокс"
" |text река нокса сливать канализация частное дом двухэтажка просить прекратить беспредел запах невозможный также страдать животный мир обитать река около нея"
" |text вод ручей иметь неприятный запах сточный вод протяжение зимний период потепление обнаружить мертвый рыба"
" |text канализационный труба круглосуточно литься загрязнить вод река кама весь берег видный желтый зеленый развод лед просить срочно провести проверка пока лед растаять загрязнение легко увидеть кама подводный житель опасность"
" |text куюк жк светлый коттеджный поселок квартал озеро выйти берег затопить основный дорога день мочь выехать весь центральный дорога затопить мчс приехать зарегистрировать обращение каждый днем весь большой просьба помочь решение вопрос"
" |text речка шильнинка район боровецкий мост сторона агдаш многий место перекрыть упасть дерево место начать скапливаться мусор дерево данный момент сильно наклониться возможно скоро обрушаться речка затор стать еще большой нужно очистить речка"
" |text единственный пруд болгарин мугузел елг каска наратлы зарасти водоросль дно илистый водиться рыбка ребенок внук купаться ранний просить очистить пруд пенсионер наш ребенок соседний старый завод жить мажор давно весь сделать"
" |text татарстан начесться бардак вода спустить состояние рыба негде нереститься вод отойти берег метр минимум кама год чистополь"
" |text проживать виктория остров год пять назад пытаться перегородить залив казанка сделать дорога материк остров насыпать земля поставить маленькая труба нарушить циркуляция вода рыба заходить появиться камыш просьба срочно убрать насыпать"
" |text невероятный обмеление вода р казанка требовать короткий срок исправить причененный ущерб водный ресурс река попытаться уменьшить последствие катастрофа река казанка"
" |text вод озеро мусор просьба убрать"
" |text просить организовать уборка образоваться запруда самый щебнистый набережная берег кабан мусор пачка сигарета бутылка банка пенопласт бревно доска берег обитать лягушка утка лебедь вынудить плавать среди мусор мусор"
" |text свалка прибрежный полоса около мост проток"
" |text вода колокольный мост мусор дохлый кошка далекий течение находиться городской пляж"
" |text срочно провести очистка вода весь водоем весь зарасти трава весь вод зеленый"
" |text пруд расположить река имелли согласно ст водный кодекс рф данный водный объект находиться собственность российский федерация прошлое год предприниматься попытка сброс вода сброс слово местный производиться указание глава большерусаковский сп"
" |text сброс фикальный вод республиканский псих больница прилегать территория зеленый часть город"
" |text начало год неоднократно выявить сброс стоковый автомойка близлежащий территоритория дальнейший попадание ручей местный эколог бездействовать предоставление фотоматериал подтверждать инцедент который запрашивать эколог"
" |text сброс нефтепродукт озеро кабан тэц ручей видный нефтяной пятно"
" |text просить обратить внимание сзади улица чехов протекать речка берняжка весна вод подниматься затапливать огород просить принять мера"
" |text мусор сваливать мост река берняжка который впадать кама мусор оказываться кама"
" |text водоем который находиться пересечение улица ой муромский пятигорский заболоча загрязнить утка ежегодно выводить потомство грязь водоем ранний резервный водоем пожаротушение"
