" |text выброс загрязнять вещество промышленный производство"
" |text сегодняшний день улица запах который болеть голова тяжело дышать возможно открыть окно проветривание погулять ребенок речь идти"
" |text просить принять мера загрязнение воздух окружающий среда продукт горение завод искожа предположительно дым горение остаток производство территория завод расположить высокий черный труба дым который разноситься весь округа иметь черный цвета хим запах"
" |text периодически жечь покрышка ветер сторона дом ничто приятный сегодня жечь наверное должный ряд человек жить"
" |text утро поздний ночь сегодня травить толь сероводород толь нефтяной фракция канализация ряд объект транснефть"
" |text вонять нефтепродукт радиус метр запах дом улица сильный вызывать головной боль ощущаться безветренный погода"
" |text снова выброс воздух пром предприятие"
" |text каждый выходной вонять химия"
" |text очередной невыносимый химический запах город проветрить квартира ребенок погулять головной боль тошнота принять мера сколько"
" |text выброс воздух дышать нечего"
" |text подача заявка спустя около день запах исчезнуть недавний время отсутствовать последний время появиться вновь"
" |text адрес год казань ул автосервисный установить углетомильный печь нарушение санпин охранный зона метр результат выброс атмосфера продукт пиролиз отравлять человек находиться ряд просить принять мера устранение нарушение"
" |text пожалуйста проверить предприятие это адрес ночное время сутки внезапный проверка предмет выброс атмосфера запах ощущаться парка урицкий вечерня ночное время"
" |text вонять химия дышать"
" |text вечер неделя ощущаться сильный химический запах йод парка урицкий концентрация сильный удаление ул соловетский юнга запах становиться менее резкий последний запах заметить год"
" |text заметить окно свой квартира огонь возле кладбище открыть окно пахнуть ужасно жечь покрышка кажется время сей пора жечь март"
" |text ощущаться воздух сильный химический запах похожий кислота запах март год просьба принять мера задыхаться работать территория технополис химград"
" |text каждый утро вечер разный чувствоваться химический запах улица запах бывать литье алюминий знать технолог машиностроение окончить кай"
" |text появление химический запах последний месяц наблюдать сегодня ощущаться наиболее сильно раздражать слизистый нос глаз"
" |text начинать начало год неделя воздух резкий запах химикат который проникать квартира невозможно дышать сопровождаться плохой самочувствие житель писать неоднократно проблема решить отписываться"
" |text добрый вечер день плата дербышка новый сосновка стоить удушать запах улица выйти возможно мочь сказать пахнуть запах который перехватывать дыхание срабатывать рвотный рефлекс просить найти виновный принять мера"
" |text ночь возможно дышать стоить зловонный запах поселок доносить иловый полый невозможно просвежить дом находиться улица"
" |text выйти улица год район число ощутить очень сильный запах йод это"
" |text вечер именно вечер очень резкий химический запах"
" |text здравствовать академик королева далее каждый выходной особенно начинать пятница понидельник время вечер утро весь ночь чистота воздух нарушаться химический запах першить нос горло стоить легкий смочь дышать возможно"
" |text очистный территория жк светлый ужасный запах который влечь головной боль жить поселок частное сектор метр невозможно открыть окно идти едкий запах ответ орган это связать очистка проблема решаться"
" |text сильный запах химия каждый вечер утро пахнуть химия левченко форточка открыть"
" |text житель дом который вокруг завод женщина ребенок беременный страдать периодический выброс доноситься кирпичный завод расположить вблизи жилой многоэтажный дом детский сад поликлиника площадка наш легкое одежда впитывать токсичный запах"
" |text день невозможно дышать пахнуть химия помочь"
" |text регулярно число ночь апр год прима район плата урицкий стоить запах гарь йод сторона химград оргсинтез нечего дышать запах проникать квартира сквозь закрытый окно требовать провести внеплановый проба район ночь устранить нарушение"
" |text ночь апрель апрель парка урицкий прилегать улица королева коломенский нечего дышать запах гарь дым запах йод просьба проверить предприятие химград казпресстрой который делать выброс ночью"
" |text практически каждый день начинать вечер самый утро воздух ужасный запах невозможно открыть окно сладковатый химический запах сказать запах кажется идти территория химград начинать ощущаться район васильченко"
" |text ежедневно вечерний ночное время территория химград бывший завод тасмо улица восстание горьковский шоссе доноситься едкий химический запах улица стлаться настоящий смочь просить провести регулярный проверка ночное время выявить отравитель"
" |text неоднократно утро выходить улица ощущаться запах йод лекарство очень неприятно дышать это слизистый начинать заметно пересыхать"
" |text жуткий запах дым кирпичный завод невозможно открыть окно выйти улица ребенок запах першить горло"
" |text стройка метрополитен регулярно жечь строительный мусор весь тянуть окно дышать принять мера"
" |text смокнуть авиастроительный район дышать невозможно закрытый окно проникать едкий запах заняться проблема каждый год начало весна конец осень практически вечер нечего дышать"
" |text последний неделя ежедневно примерно ночью воздух жилой дом микрорайон танкодром трц горка парк распространяться стойкий запах сероводород невозможно дышать"
" |text парка урицкий пахнуть горелый мусор химия время"
" |text едкий запах дым смочь кирпичный завод находиться поблизости адрес ада кутуй ряд жилой комплекс журавль детский сад детский поликлиника сделать нибыть невозможно выйти погулять сиребенок закрытый окно проникать внутрь квартира"
" |text каждый вечер ужасный запах иловый полый это безобразие прекратиться ребенок должный дышать"
" |text последний полгода каждый ночь открывать окно промежуток примерно пахнуть гарь остальной время запах гарь напрашиваться вывод близлежащий предприятие производить незаконный выброс атмосфера ночь просить устранить проблема нарушение"
" |text лесной массив национальный парк нижний кама ряд оздоровительный лагерь солнечный сотрудник ок саулыко обнаружить распилить дерево скорее дерево упасть распилить подготовить вывоз использование качество дрова"
" |text жечь регулярно дым порой глаз запах плохой весь сторона травить"
" |text здравствовать заинск ул нариманов находиться предприятие гидромаш жечь топить труба идти черный синеватый дым ряд метр находиться сад огород человек просить проверить жечь"
