index;top_0;top_1;top_2;top_3;top_4;top_5;top_6;top_7;top_8;top_9
sbj0;необходимый:0.097;ул:0.095;пешеходный:0.043;часть:0.039;проезжий:0.033;переход:0.028;пешеход:0.024;восстановить:0.024;перекресток:0.018;люк:0.017
sbj1;остановка:0.064;сторона:0.06;автобус:0.031;маршрут:0.023;транспорт:0.019;проспект:0.018;номер:0.014;водитель:0.011;общественный:0.01;победа:0.01
sbj2;мусор:0.059;установить:0.056;убрать:0.049;знак:0.03;место:0.028;около:0.026;движение:0.019;забор:0.019;автомобиль:0.018;газон:0.016
sbj3;тротуар:0.068;ребенок:0.043;очень:0.04;ходить:0.037;человек:0.032;детский:0.029;грязь:0.028;вдоль:0.024;площадка:0.023;очистить:0.021
sbj4;дорога:0.136;ям:0.052;ремонт:0.04;асфальт:0.038;дорожный:0.029;участок:0.026;покрытие:0.021;состояние:0.017;проезд:0.016;дорога:0.016
sbj5;год:0.086;это:0.069;просьба:0.047;сделать:0.04;работа:0.027;демонтировать:0.02;еще:0.012;фото:0.012;почему:0.012;проблема:0.01
sbj6;дом:0.102;улица:0.093;весь:0.06;двор:0.033;машина:0.027;невозможно:0.025;большой:0.023;снег:0.021;подъезд:0.017;огромный:0.016
sbj7;район:0.074;казань:0.067;заявка:0.047;решить:0.044;округ:0.043;татарстан:0.034;приволжский:0.033;благоустройство:0.032;городской:0.031;муниципальный:0.027
sbj8;освещение:0.035;фонарь:0.035;возле:0.031;мочь:0.031;отсутствовать:0.029;дерево:0.026;требовать:0.021;нужно:0.021;столб:0.02;опасный:0.02
sbj9;территория:0.068;принять:0.034;день:0.026;город:0.024;привести:0.022;мера:0.021;житель:0.017;земля:0.015;мера:0.014;поселок:0.012
