index;top_0;top_1;top_2;top_3;top_4;top_5;top_6;top_7;top_8;top_9
sbj0;необходимый:0.096;ул:0.093;пешеходный:0.042;часть:0.038;проезжий:0.033;переход:0.028;вдоль:0.026;пешеход:0.023;восстановить:0.023;очистить:0.022
sbj1;остановка:0.063;сторона:0.059;автобус:0.031;маршрут:0.023;транспорт:0.019;номер:0.015;водитель:0.011;общественный:0.01;стоять:0.009;плата:0.009
sbj2;мусор:0.06;установить:0.056;убрать:0.05;знак:0.03;место:0.028;около:0.026;движение:0.021;забор:0.02;автомобиль:0.018;газон:0.016
sbj3;тротуар:0.075;ребенок:0.052;очень:0.045;ходить:0.041;детский:0.037;человек:0.035;площадка:0.027;школа:0.023;идти:0.02;коляска:0.02
sbj4;дорога:0.14;ям:0.053;ремонт:0.043;асфальт:0.039;дорожный:0.03;участок:0.027;покрытие:0.021;состояние:0.018;проезд:0.016;дорога:0.016
sbj5;год:0.086;это:0.067;просьба:0.046;сделать:0.04;работа:0.027;демонтировать:0.02;еще:0.012;почему:0.012;фото:0.012;нормальный:0.01
sbj6;дом:0.097;улица:0.09;весь:0.058;двор:0.032;машина:0.026;невозможно:0.023;большой:0.022;грязь:0.021;снег:0.02;подъезд:0.016
sbj7;район:0.07;казань:0.066;заявка:0.046;решить:0.043;округ:0.041;татарстан:0.033;приволжский:0.032;благоустройство:0.031;городской:0.029;муниципальный:0.027
sbj8;освещение:0.034;фонарь:0.034;мочь:0.03;возле:0.03;отсутствовать:0.029;время:0.028;дерево:0.026;требовать:0.021;столб:0.02;опасный:0.02
sbj9;просить:0.129;территория:0.062;принять:0.029;дать:0.026;данный:0.02;привести:0.02;мера:0.018;парковка:0.015;житель:0.015;магазин:0.014
