index;top_0;top_1;top_2;top_3;top_4;top_5;top_6;top_7;top_8;top_9
sbj0;необходимый:0.099;ул:0.097;пешеходный:0.044;часть:0.04;проезжий:0.034;переход:0.029;пешеход:0.024;перекресток:0.019;люк:0.017;дорожка:0.016
sbj1;остановка:0.063;сторона:0.059;автобус:0.031;маршрут:0.023;транспорт:0.019;проспект:0.018;номер:0.015;водитель:0.011;общественный:0.01;стоять:0.009
sbj2;мусор:0.062;установить:0.061;убрать:0.051;знак:0.032;место:0.03;около:0.027;движение:0.02;забор:0.02;автомобиль:0.019;газон:0.017
sbj3;тротуар:0.069;ребенок:0.044;очень:0.041;ходить:0.037;сделать:0.036;человек:0.032;детский:0.03;грязь:0.028;вдоль:0.024;площадка:0.023
sbj4;дорога:0.138;ям:0.053;ремонт:0.041;асфальт:0.038;дорожный:0.029;участок:0.027;покрытие:0.021;восстановить:0.019;состояние:0.018;проезд:0.016
sbj5;год:0.085;это:0.068;просьба:0.047;работа:0.027;демонтировать:0.02;еще:0.012;фото:0.012;почему:0.012;нормальный:0.01;проблема:0.01
sbj6;дом:0.098;улица:0.088;весь:0.057;двор:0.032;машина:0.026;невозможно:0.023;большой:0.022;снег:0.02;подъезд:0.017;огромный:0.015
sbj7;район:0.071;казань:0.066;заявка:0.046;решить:0.043;округ:0.042;татарстан:0.033;приволжский:0.033;благоустройство:0.032;городской:0.03;муниципальный:0.026
sbj8;освещение:0.036;фонарь:0.035;возле:0.031;мочь:0.031;отсутствовать:0.03;дерево:0.027;нужно:0.022;требовать:0.022;столб:0.021;опасный:0.02
sbj9;просить:0.132;территория:0.06;принять:0.029;дать:0.026;данный:0.02;привести:0.02;мера:0.018;парковка:0.016;магазин:0.016;житель:0.015
