" |text кап ремонт подъезд находиться окно штукатурка угол пошлый трещина некоторый место расстояние стена штукатурка достигать сантиметр небольшой период время весь обвалиться светлый подъезд"
" |text наш дом улица сафиуллин подъезд май год начать капремонт дом связь это снять домофон поставить сей пора платить"
" |text квартира холодный сыро приходить работа приходиться включать газовый плита безопастный квартира температура опускаться гр исправно плач жкх проживать холод дискомфорт просить принять мера дом проживать ребенок"
" |text ход кап ремонт подъезд дверь заменить просто покрасить старое весь разный просто доска полый красить планировать стена покрасить обычный светлый водоэмульсионка который помыть это капремонт"
" |text дом капитальный ремонт снять электросчетчик поставить наш счет новое опломбировать обещать закончить ремонт эл оборудование прошлый месяц никто заниматься опломбирование смета капитальный ремонт дом это предусмотреть"
" |text добрый день адрес ул гафиатуллин далее б х месяц работать лифт кап ремонт лифтовый оборудование должный завершить лифт работать ускорить процесс ввод лифт эксплуатация заранее спасибо"
" |text входной дверь крепкий дверь исправный домофон снять поставить новое жесть домофоновый установка домофоновый платить весь житель поставить новое пластиковый окно защитный пленка бирка снять"
" |text добрый день кап ремонт фасад дом установить карниз окно работа закончить начало декабрь звонить отдел кап ремонт ук данные вопрос изменение ответ ук адрес зябнуть этаж окно ряд черный вход смотреть алтына ай"
" |text февраль год подъезд потолок отвалиться большой кусок штукатурка ремонт закончить осень год просить оперативно качественно отремонтировать потолок слишком быстро весь начать отваливаться"
" |text прошлое год ук новация проводить наш дом капитальный ремонт подъезд время краска стать облупляться ремонт подъезд выглядеть свежий хороший наш просьба переделать называть ремонт отказываться помочь пожало"
" |text ремонт выпонить качественно однако обойтись последствие мусор который остаться ремонт рабочий выбросить планируюмый шахта лифт закрыть провнастил самостоятельно убрать это безобразие невозможно весь год мусор гнить ужасно пахнуть ук реагировать"
" |text добрый вечер сегодня приехать мама гость дом начаться капремонт фасад межпанельный шов вход подъезд ряд упасть пустой баллон монтажный пена ограждение отсутствовать сетка оградительный валяться работник присмотр"
" |text энергетик дом подъезд фото видно боковой плита разрушить шов заделать время ремонт большой дыра вод капать разрушать стержень внутренний капитальный ремонт дом проходить год назад"
" |text подъезд капитальный ремонт ящик остаться старое еще отсутствовать пара ящик дверка замковый давный давно"
" |text сделать ремонт подъезд летом ждать прийти доделать увы просить разобраться"
" |text кап ремонт крыша водосточный труба сделать везде сделать нибыть козырек дом угол мокрый стена мокрый обои дом начинать отваливаться"
" |text капитальный ремонт подъезд номер лужа весь таять улица весь стекать подъезд уборщица дом весь грязь идти квартира"
" |text год провести капитальный ремонт жила дом адрес год казань ул короленко дом бойлер горячее водоснабжение установленный конец укомплектовать горячий вода просить помочь решение данный вопрос"
" |text улица сайдашева произвести незаконченный кап ремонт который делать месяц"
" |text капитальный ремонт восстановить решетка продух подвальный помещение"
" |text восстановить система холодное водоснабжение полив прилегать территория растение"
" |text закрытый силовой ввод кабель питание тп ввод дом як"
" |text закрытый шахта ввод кабель подъезд ом этаж"
" |text периодически идти гул трансформатор машинноо отделение лифт этаж гул слышный дом мешать весь начаться установить новый лифт капитальный ремонт дом мурадьян подъезд"
" |text капитальный ремонт замена окно деревянный сделать сквозной дыра подъезд квартира повредить обой"
" |text дом провести капитальный ремонт который закончить янвпра год воемить уборка снег трактор задеть стен арка повредить стен никто нечего заделывать также прилагать фотография фасад это последствие некачественный капитальный ремонт"
