index;top_0;top_1;top_2;top_3;top_4;top_5;top_6;top_7;top_8;top_9
sbj0;необходимый:0.108;ул:0.098;пешеходный:0.046;часть:0.041;проезжий:0.035;очистить:0.031;переход:0.03;вдоль:0.028;пешеход:0.025;восстановить:0.025
sbj1;дом:0.152;мусор:0.06;территория:0.059;подъезд:0.029;около:0.025;газон:0.017;свалка:0.014;контейнер:0.013;мусорный:0.012;лежать:0.01
sbj2;сторона:0.054;знак:0.042;остановка:0.04;время:0.037;рекламный:0.029;автомобиль:0.025;движение:0.023;должный:0.023;конструкция:0.02;проспект:0.016
sbj3;тротуар:0.069;ребенок:0.042;очень:0.038;ходить:0.035;сделать:0.035;детский:0.029;человек:0.029;грязь:0.028;площадка:0.023;школа:0.02
sbj4;дорога:0.134;ям:0.052;ремонт:0.046;асфальт:0.038;дорожный:0.029;участок:0.026;покрытие:0.02;состояние:0.017;дорога:0.015;проезд:0.015
sbj5;год:0.111;просьба:0.066;демонтировать:0.042;работа:0.034;реклама:0.03;незаконный:0.022;реклама:0.02;устранить:0.016;еще:0.014;нарушение:0.014
sbj6;весь:0.069;двор:0.04;машина:0.032;невозможно:0.028;большой:0.027;снег:0.025;лужа:0.019;пройти:0.019;огромный:0.019;дождь:0.018
sbj7;улица:0.133;район:0.061;казань:0.059;заявка:0.041;решить:0.037;округ:0.037;благоустройство:0.03;татарстан:0.029;приволжский:0.029;городской:0.028
sbj8;убрать:0.057;установить:0.05;освещение:0.036;фонарь:0.035;возле:0.03;мочь:0.029;отсутствовать:0.026;дерево:0.026;столб:0.025;требовать:0.02
sbj9;просить:0.124;место:0.027;принять:0.027;дать:0.024;забор:0.02;данный:0.018;привести:0.018;город:0.018;мера:0.017;парковка:0.014
