index;top_0;top_1;top_2;top_3;top_4;top_5;top_6;top_7;top_8;top_9
sbj0;ребенок:0.068;пешеходный:0.047;принять:0.041;школа:0.033;собака:0.031;день:0.028;переход:0.025;мера:0.024;пожалуйста:0.019;мера:0.019
sbj1;снег:0.093;чистить:0.032;связь:0.019;почистить:0.018;уборка:0.018;убирать:0.017;зима:0.017;колея:0.015;вообще:0.014;трактор:0.011
sbj2;мусор:0.072;убрать:0.067;около:0.033;остановка:0.026;забор:0.025;газон:0.02;зона:0.018;свалка:0.016;зеленый:0.016;контейнер:0.016
sbj3;тротуар:0.079;ходить:0.043;часть:0.04;сторона:0.036;проезжий:0.035;человек:0.034;детский:0.032;грязь:0.028;вдоль:0.028;очистить:0.027
sbj4;дорога:0.155;ям:0.052;ремонт:0.041;участок:0.026;дорожный:0.023;покрытие:0.021;состояние:0.017;дорога:0.017;проезд:0.017;отремонтировать:0.015
sbj5;год:0.075;это:0.058;асфальт:0.046;сделать:0.033;работа:0.022;каждый:0.021;наш:0.016;новый:0.014;еще:0.011;фото:0.011
sbj6;дом:0.127;весь:0.077;двор:0.043;машина:0.039;невозможно:0.035;большой:0.028;пройти:0.022;проехать:0.021;огромный:0.021;подъезд:0.021
sbj7;район:0.073;казань:0.054;заявка:0.05;решить:0.047;муниципальный:0.036;округ:0.033;татарстан:0.032;город:0.029;благоустройство:0.028;городской:0.026
sbj8;необходимый:0.08;установить:0.035;освещение:0.031;фонарь:0.031;возле:0.03;дерево:0.024;отсутствовать:0.024;время:0.022;восстановить:0.02;опасный:0.018
sbj9;территория:0.07;место:0.034;дать:0.028;данный:0.023;привести:0.023;парковка:0.019;житель:0.019;магазин:0.018;демонтировать:0.017;земля:0.016
