index;top_0;top_1;top_2;top_3;top_4;top_5;top_6;top_7;top_8;top_9
sbj0;необходимый:0.108;ул:0.098;пешеходный:0.046;часть:0.041;проезжий:0.035;очистить:0.032;переход:0.031;пешеход:0.025;восстановить:0.024;перекресток:0.019
sbj1;мусор:0.07;территория:0.069;около:0.029;подъезд:0.028;газон:0.019;свалка:0.016;контейнер:0.015;мусорный:0.013;лежать:0.012;уборка:0.011
sbj2;сторона:0.059;знак:0.046;остановка:0.045;время:0.043;рекламный:0.042;конструкция:0.029;должный:0.028;движение:0.026;подсвет:0.017;темный:0.017
sbj3;тротуар:0.064;ребенок:0.038;очень:0.035;ходить:0.033;сделать:0.031;детский:0.027;человек:0.027;грязь:0.026;вдоль:0.023;площадка:0.021
sbj4;дорога:0.132;ям:0.051;ремонт:0.039;асфальт:0.037;дорожный:0.029;участок:0.025;покрытие:0.02;состояние:0.016;дорога:0.015;проезд:0.014
sbj5;год:0.123;просьба:0.076;демонтировать:0.053;реклама:0.041;работа:0.037;незаконный:0.027;реклама:0.025;устранить:0.018;нарушение:0.017;указанный:0.016
sbj6;весь:0.068;двор:0.04;машина:0.033;невозможно:0.028;большой:0.027;снег:0.025;огромный:0.019;лужа:0.019;пройти:0.018;дождь:0.017
sbj7;улица:0.127;район:0.06;казань:0.058;заявка:0.04;решить:0.036;округ:0.036;благоустройство:0.029;татарстан:0.029;приволжский:0.028;городской:0.028
sbj8;убрать:0.058;освещение:0.036;фонарь:0.035;возле:0.031;мочь:0.029;столб:0.027;отсутствовать:0.026;дерево:0.026;требовать:0.02;опасный:0.02
sbj9;просить:0.112;это:0.053;установить:0.046;принять:0.024;место:0.024;дать:0.022;забор:0.018;данный:0.016;привести:0.016;мера:0.015
