index;top_0;top_1;top_2;top_3;top_4;top_5;top_6;top_7;top_8;top_9
sbj0;ул:0.117;пешеходный:0.063;переход:0.047;часть:0.046;проезжий:0.04;пешеход:0.034;далее:0.032;напротив:0.021;дорожка:0.019;разметка:0.012
sbj1;мусор:0.08;убрать:0.071;около:0.034;газон:0.022;свалка:0.018;контейнер:0.016;мусорный:0.015;лежать:0.014;вокруг:0.013;уборка:0.013
sbj2;установить:0.061;знак:0.059;сторона:0.045;движение:0.027;остановка:0.025;перекресток:0.024;автомобиль:0.021;проезд:0.021;светофор:0.016;проспект:0.014
sbj3;тротуар:0.071;ребенок:0.048;очень:0.042;ходить:0.037;человек:0.032;детский:0.031;грязь:0.028;вдоль:0.026;площадка:0.024;школа:0.024
sbj4;ремонт:0.071;дорожный:0.064;покрытие:0.034;восстановить:0.03;состояние:0.029;дорога:0.028;отремонтировать:0.024;мера:0.023;требоваться:0.02;колодец:0.016
sbj5;год:0.075;это:0.059;асфальт:0.045;сделать:0.036;работа:0.023;день:0.02;каждый:0.019;новый:0.015;наш:0.014;должный:0.012
sbj6;дорога:0.124;дом:0.097;весь:0.053;ям:0.043;двор:0.032;машина:0.031;большой:0.022;невозможно:0.022;снег:0.018;подъезд:0.016
sbj7;улица:0.113;район:0.056;казань:0.053;территория:0.05;заявка:0.038;решить:0.035;округ:0.033;татарстан:0.029;благоустройство:0.027;приволжский:0.026
sbj8;необходимый:0.093;освещение:0.033;фонарь:0.033;возле:0.03;мочь:0.029;отсутствовать:0.028;время:0.026;дерево:0.025;требовать:0.021;опасный:0.021
sbj9;просить:0.122;место:0.029;принять:0.026;дать:0.025;данный:0.019;забор:0.018;привести:0.018;парковка:0.017;зона:0.016;зеленый:0.016
