" |text переход станция метро дубравный установить табло указатель который текст английский язык иметь грубый лексический орфографический ошибка это отрицательно сказываться имидж наш город просить исправить"
" |text сломать остановочный павильон остановка ершовый сторона новое город"
" |text трамвайный вагон очень плохо работать салонный отопление пара идти нос рот необходимый решить данный проблема"
" |text просить обеспечить маршрут комплекс возможность проезд пр мир московский сююмбик чулман заселить остановка компл возможность добраться связь строительство др дом проспа год победа поставить остановка маршрут пустить"
" |text разбитый стекло остановка разбитый около месяц заклеить скотч ветер накрениться сторона опасный слабовидящий ребенок"
" |text сколько жаловаться маршрут это невозможно й ждать мороз ребенок мина каждый мина проехать мина ездить обращение патп пожимать плечо водитель почему человек должный страдать принимать мера"
" |text невозможно уехать маршрут несколько приходиться ждать минута остановка глобус дружба народ автобус выходной день часто сталкиваться интервал маршрут очень большой приходиться ждать минута"
" |text банкомат свет отсутствовать напрочь темно шахта терминал выдача жетон принимать карта оплата"
" |text насколько понимать это обьясняться часть работник камаз уходить отпуск считать это правильный автосборочный проспект распологаться масса предприятие работник который использть маршрут просить посодействовать решение дать проблема"
" |text остановочный павильон сторона са иметь табличка называться остановка ездить должный догадываться установить табличка"
" |text писать маршрут время водитель свернуть мост доехать мег таксист нанимать работа номер"
" |text отсутствовать большой интервал движение муниципальный транспорт маршрут автобус большой вместимость утренний часы сегодня январь год проехать автобус большой вместимость маршрут плата зябнуть"
" |text напротив тц леруа мерлена создать трамвайный остановка установить табличка расписание маршрут название"
" |text уехать сторона пр вахитов остановка пр чулман невозможно послать сторона сююмбик следующий остановка стать чело многие уйти пешком это безобразие человек ребенок улица мороз гололед организовать маршрут поздний время"
" |text единственный адекватно ходить транспорт комплекс остановка комплекс это почему обратный сторона идти комплекс просьба житель комплекс пустить обратный сторона также остановка автобус ждать час ребенок"
" |text декабрь остановка площадь тукать около часы работать автоинформатор"
" |text житель жилой комплекс лесна городок метр удобно добираться работа школа маршрут обеспечивать весь нужда выбор маршрут ограничить весь простить дать дополнительный маршрут метро проспект победа"
" |text полый подземный переход метро невероятно скользкий зимой сколько нужно убиться покалечиться резиновый коврик еще идти пешеход весь очередь выстраиваться везде"
" |text сегодня водитель автобус маршрут гос номер р му проехать остановка пассажир прийтись бежать автобус который стоялый светофор поворачивать обоснованный негодование кондуктор ответить оскорбление"
" |text снова работать табло информирование время прибытие общественный транспорт верхний строчка"
" |text автобус маршрут остановка ул чуйков стремиться обогнать стоящий й остановиться далеко место остановка дождаться подбегать остановочный павильон пассажир гос гаражный номер фото"
" |text маршрут весь новогодний выходной выходить рейс телефон диспетчер работать узнать автобус автобус еле ездить дверь ручной управление кондуктор открывать закрываться дверь работать решить проблема город"
" |text работать информационный табло остановка сафиуллин"
" |text просить пересмотретьграфик движение трамвай сегодня человек ждать автобус час весь интервал движение последний время аж минута"
" |text остановка работать транспортный табло"
" |text патп левый стекло шторка полный бардак"
" |text сегодня число ост школа село маршра такси год наш ао маршрут двигаться сторона наш город выход ост пединститут предъявить пенсионный транспортный карта ответ грубый форма получить ждать бесплатно возить просить разобраться"
" |text соблюдаться график движение больший автобус марш особенно утренний время интервал автобус положить мина систематически неделя течение полгода нарушаться график движение однократно обращаться мэрия просить разобраться"
" |text январь остановка х такташ ожидать маршра остановочный площадка стоялый маршра посадка высадка пас маршрут мчаться большой скорость обгон махать прийтись бежать пенсионер авт метр зад дверь сломать почему знать ездить"
" |text сегодня автобус машрута гос ас примерно часы транспортный карта сняться двойной оплата проезд вечером пополнить карта остаток чек стать рубль поездка это сегодня валидатор показать остаток рубль"
" |text остановка театр кукла замерзнуть уехать друг автобус остановка колхозный рынок стоялый водитель автобус мочь менять маршрут ездить город захотеть проезжать весь остановка согласно маршрут"
" |text соблюдаться режим работа общественный транспорт троллейбус ребенок школа это опаздывать мерзнуть остановка"
" |text маршрут госномер мм отсутствовать информатор"
" |text пожалуйста продлить маршрут автобус поселок берновое ковать приходиться ходить человек километр дом остановка дом весь условие автобус иметься летом год ремонт дорога новое освещение разворот автобус конечный остановка проезжий часть"
" |text павильон автобусный остановка въезд далее ян буляк отсутствовать идентификатор название остановка"
" |text снова вновь вновь левый стекло шторка заводский тряпка несколько день назад отчитаться снова весь навещать"
" |text сель проживать человек год отменить автобус рай центр чиновник обещать решить проблема весной основное проживать пенсионер возможность ездить личный транспорт имя постоянно нужный мед помощь расходоваться наш налог помочь"
" |text трамвайный остановка увд сторона са иметь табличка расписание маршрут название остановка установить требоваться"
" |text трамвайный павильон остановка увд сторона са проржаветь требоваться комплекс мера исправление ситуация"
" |text ет еу автоинформатор работать просьба устранить массовый сбой"
" |text ост абсалямов прямой маршрут ост седов просьба наладить транспортный сообщение пустить автобус"
" |text опор дорожный знак запрещаться установка аншлаг информация необходимый снять аншлаг"
" |text январь год часы автобус маршрут гос номер р тв очень холодный печка греть ребенок очень замерзнуть"
" |text трамвайный остановка глобус который близкий проспект ржавый исправить недавно заявка подавать отчитаться весь исправить обмануть проверить лично"
" |text здравствовать вернуть автобус невозможно уехать квартал пересадка автобус утро протолкнуться пусть изучать пассажиропоток попробовать утро изучить весь житель работа"
" |text остановка агропарк табло файзь"
" |text крайне редко ходить автобус номер автобус ходить хороший случай минута й полтора час работать московский утром вообще выехать вечером вернуться выходной выехать направление центр метр метр шанс"
" |text супруг дочка год труд выйти свой остановка стоять середина автобус водитель открыть передний задний дверь побежать вперед водитель улыбаться закрыть передний открыть средний побежать средний закрыть открыть задний жена ребенок слеза мочь вежливый"
" |text ездить очень редко ждать мина очень удобный маршрут разъезд востаний оставаться пустой практически весь человек ездить сторона московский рынок ребенок учиться район востаний приходиться ездить х маршрутка вернуть пожалуйста наш маршрут"
" |text позор город остановочный павильон неужели сделать качественный павильон это остекление мочь разбиться дать бог покалечить нибыть"
" |text очень часто приходиться ждать автобус минута выходной утром бывать автобус маршрут ребенок мочь нормальный уехать школа вернуться обратно обещать автобус рейс ежедневно факт"
" |text почему перенести остановка маршрут чеховский рынок автобус останавливаться остановка шмидт доезжать поворачивать направо метр поворот высаживать пассажир проезжий часть ограждение сугроб человек пробираться тротуар"
" |text просить восстановить автопавильон укрытие пассажир ожидать прибытие автобус воздействие неблагоприятный погодный климатический фактор осадка солнечный радиация ветер плата середина январь год павильон дать остановка ул халитовый"
" |text раб ки перевозчик говорят вод лей оплата труд сбор деньга проезд лмр хотеть помогать финансовый просить мтидха рт лично министр разобраться ежегодный ухудшение работа общественный транспорт лениногорск город нефтяник помочь пенсионер"
" |text здравствовать огромный просьба пустить маршрут ул короленко ул востаний ул гагарин маршрут приходиться идти пожилое человек квартал остановка солнышко короленко просьба наладить движение очень редко ходить уехать"
" |text остановка весь разбитый крыша мочь упасть"
" |text запустить новое троллейбус ул шевченко ездить нижний мактам"
" |text здравствовать почему троллейбус номер отключить интернет функция оплата проезд карта работать"
