index;Исполнительный комитет;Администрация;Министерство здравоохранения;Муниципальное образование город;Управление административно технической инспекции;Комитет жилищно коммунального хозяйства;Комитет внешнего благоустройства;ООО Твои мобильные технологии;МБУ Дирекция парков скверов;Министерство внутренних дел;Управление Роспотребнадзор по РТрт;Управление наружной рекламы информации Исполнительного комитета муниципального образования города;Комитет по транспорту;Министерство спорта;Министерство транспорта дорожного хозяйства;ООО Управляющая компания Уютный дом;Исполнительный комитет Елабуга;Управление Роспотребнадзор;МУП Метроэлектротранс;Комитет земельных имущественных отношений;Комитет потребительского рынка;Государственное казенное учреждение Главное управление содержания развития дорожно транспортного комплекса при Министерстве транспорта дорожного хозяйства;Управление образования ИКМО;Комитет физической культуры спорта;МКУ Организатор пассажирских перевозок;Управление капитального строительства реконструкции;МКУ Автоматизированная система управления дорожным движением;Исполнительный комитет Казани;УФПС Татарстан Почтасы филиал ФГУП Почта России;ПАО МегаФон;Центральное территориальное управление Минэкологии;Неизвестный исполнитель;ООО УК ЖКХ;ООО Скартел;Управление информационных технологий связи;Административная комиссия Казани;МКУ Организатор городского парковочного пространства;ПАО Мобильные ТелеСистемы;Управление культуры;Министерство цифрового развития государственного управления информационных технологий связи;Управление Росприроднадзора;Закамское Территориальное Управление МЭПР РТ;Министерство строительства архитектуры жилищно коммунального хозяйства;ПАТП;ООО Мобайл;Волжско Камское территориальное управление МЭПР;Комитет по охране объектов культурного нaследия;ПАО ВымпелКом;Управление градостроительных разрешений;Прикамское территориальное управление МЭПР;Филиал РТРС РТПЦ;Министерство культуры;МУП Пассажирское автотранспортное предприятие Казань ул Крылова;Муниципальное Учреждение Исполнительный комитет;Инспекция Государственного строительного надзора;Управление архитектуры градостроительства;Министерство земельных имущественных отношений;ФГБОУ ВО Поволжская академия физической культуры спорта туризма;Управление Федеральной антимонопольной службы;Министерство лесного хозяйства;Администрация администрация;Администрация администрация ;Муниципальное казенное учреждение Управление по организации ритуальных услуг Исполнительного комитета муниципального образования города;ООО УК Старый город;Служба поддержки;Заволжское территориальное управление МЭПР;Министерство труда занятости социальной защиты;Министерство информатизации связи;Управление наружной рекламы информации;ГУ Управление Государственной безопасности дорожного движения МВД;Дирекция парков скверов Казани;Администрацияное инвестиционно строительное Управление;Юго Восточное территориальное управление МЭПР;Управление Федеральной службы по ветеринарному фитосанитарному надзору;УФПС Татарстан Почтасы;МКУ Автоматизированная система управления дорожным движением Казани;МКУ Управление наружной рекламы информации ИКМО;Приикское территориальное управление МЭПР;Министерство по делам гражданской обороны чрезвычайным ситуациям;Министерство экологии природных ресурсов;Северное территориальное управление МЭПР;Палата земельных имущественных отношений Альметьевского МР РТ
sbj0;0.263;0.263;0.0;0.158;0.0;0.053;0.0;0.0;0.053;0.053;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.053;0.053;0.0;0.0;0.0;0.0;0.0;0.053;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj1;0.263;0.31;0.034;0.159;0.03;0.036;0.036;0.002;0.009;0.002;0.002;0.013;0.032;0.002;0.002;0.005;0.009;0.002;0.009;0.004;0.007;0.005;0.002;0.0;0.004;0.002;0.013;0.002;0.002;0.0;0.002;0.002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj2;0.286;0.325;0.013;0.156;0.013;0.052;0.026;0.0;0.0;0.0;0.0;0.013;0.052;0.0;0.0;0.013;0.039;0.0;0.0;0.0;0.0;0.0;0.013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj3;0.259;0.296;0.074;0.148;0.0;0.074;0.037;0.0;0.0;0.0;0.0;0.0;0.074;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.037;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj4;0.294;0.471;0.059;0.059;0.0;0.059;0.0;0.0;0.0;0.0;0.059;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj5;0.25;0.331;0.04;0.169;0.024;0.048;0.024;0.0;0.0;0.0;0.0;0.0;0.008;0.0;0.008;0.008;0.0;0.008;0.0;0.016;0.0;0.0;0.008;0.008;0.008;0.0;0.024;0.0;0.008;0.0;0.0;0.0;0.008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj6;0.25;0.458;0.042;0.042;0.0;0.083;0.0;0.0;0.042;0.0;0.0;0.042;0.042;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj7;0.0;0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj8;0.248;0.366;0.04;0.168;0.01;0.059;0.01;0.0;0.0;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.03;0.0;0.0;0.01;0.0;0.01;0.0;0.01;0.0;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj9;0.343;0.314;0.057;0.057;0.057;0.057;0.0;0.0;0.057;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.029;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.029;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
