index;top_0;top_1;top_2;top_3;top_4;top_5;top_6;top_7;top_8;top_9
sbj0;необходимый:0.102;ул:0.1;пешеходный:0.045;часть:0.041;проезжий:0.035;переход:0.03;пешеход:0.025;перекресток:0.019;дорожка:0.017;колодец:0.013
sbj1;остановка:0.071;сторона:0.06;автобус:0.039;маршрут:0.029;транспорт:0.02;проспект:0.018;номер:0.015;водитель:0.013;общественный:0.011;ждать:0.009
sbj2;мусор:0.065;установить:0.061;убрать:0.054;знак:0.032;место:0.031;около:0.028;забор:0.021;газон:0.018;зона:0.016;должный:0.015
sbj3;тротуар:0.071;ребенок:0.045;очень:0.043;ходить:0.039;человек:0.034;детский:0.03;грязь:0.029;вдоль:0.025;площадка:0.024;школа:0.022
sbj4;дорога:0.138;ям:0.053;ремонт:0.041;асфальт:0.038;дорожный:0.029;участок:0.027;покрытие:0.021;состояние:0.018;проезд:0.017;дорога:0.016
sbj5;год:0.083;это:0.067;просьба:0.047;сделать:0.04;работа:0.028;демонтировать:0.02;еще:0.012;почему:0.012;фото:0.012;нормальный:0.01
sbj6;дом:0.096;улица:0.086;весь:0.057;двор:0.031;машина:0.026;невозможно:0.023;большой:0.022;снег:0.02;подъезд:0.016;огромный:0.015
sbj7;район:0.071;казань:0.066;заявка:0.046;решить:0.043;округ:0.042;татарстан:0.033;приволжский:0.033;благоустройство:0.032;городской:0.03;муниципальный:0.026
sbj8;освещение:0.034;фонарь:0.033;мочь:0.029;возле:0.029;отсутствовать:0.028;дерево:0.025;восстановить:0.022;требовать:0.02;нужно:0.02;столб:0.02
sbj9;просить:0.126;территория:0.057;принять:0.028;дать:0.025;данный:0.02;привести:0.019;мера:0.017;житель:0.015;парковка:0.015;магазин:0.014
