index;top_0;top_1;top_2;top_3;top_4;top_5;top_6;top_7;top_8;top_9
sbj0;необходимый:0.102;ул:0.099;пешеходный:0.045;часть:0.041;проезжий:0.035;переход:0.03;пешеход:0.025;восстановить:0.025;перекресток:0.019;люк:0.018
sbj1;сторона:0.062;остановка:0.058;автобус:0.025;маршрут:0.019;транспорт:0.019;проспект:0.019;номер:0.014;водитель:0.01;общественный:0.009;плата:0.009
sbj2;мусор:0.079;убрать:0.057;знак:0.034;вдоль:0.034;около:0.032;свалка:0.026;забор:0.022;газон:0.019;зона:0.017;зеленый:0.016
sbj3;тротуар:0.074;ребенок:0.046;очень:0.043;ходить:0.039;человек:0.033;детский:0.031;грязь:0.03;площадка:0.025;очистить:0.023;школа:0.023
sbj4;дорога:0.138;ям:0.053;ремонт:0.041;асфальт:0.038;дорожный:0.029;участок:0.027;покрытие:0.021;состояние:0.017;проезд:0.016;дорога:0.016
sbj5;год:0.085;это:0.067;просьба:0.046;сделать:0.04;работа:0.027;демонтировать:0.02;еще:0.012;фото:0.012;почему:0.011;проблема:0.01
sbj6;дом:0.098;улица:0.089;весь:0.057;двор:0.032;машина:0.027;невозможно:0.023;большой:0.023;снег:0.02;далее:0.019;подъезд:0.016
sbj7;район:0.072;казань:0.066;заявка:0.047;решить:0.043;округ:0.042;татарстан:0.033;приволжский:0.033;благоустройство:0.032;городской:0.03;муниципальный:0.027
sbj8;установить:0.052;освещение:0.034;фонарь:0.033;возле:0.03;мочь:0.029;отсутствовать:0.027;время:0.026;дерево:0.025;требовать:0.02;нужно:0.02
sbj9;просить:0.118;территория:0.055;место:0.027;принять:0.026;дать:0.023;привести:0.018;данный:0.018;мера:0.016;парковка:0.014;житель:0.014
