index;top_0;top_1;top_2;top_3;top_4;top_5;top_6;top_7;top_8;top_9
sbj0;ребенок:0.071;пешеходный:0.047;принять:0.04;школа:0.033;собака:0.031;день:0.028;переход:0.025;дорожка:0.024;мера:0.023;пожалуйста:0.02
sbj1;весь:0.097;снег:0.078;машина:0.049;чистить:0.027;проехать:0.026;возможно:0.02;уборка:0.015;почистить:0.015;убирать:0.014;зима:0.014
sbj2;мусор:0.072;убрать:0.067;около:0.033;остановка:0.026;забор:0.026;газон:0.02;зона:0.018;свалка:0.016;зеленый:0.016;контейнер:0.016
sbj3;тротуар:0.081;ходить:0.044;часть:0.041;сторона:0.038;проезжий:0.035;человек:0.035;детский:0.034;грязь:0.029;площадка:0.029;вдоль:0.028
sbj4;дорога:0.157;ям:0.053;ремонт:0.041;участок:0.027;дорожный:0.023;покрытие:0.021;состояние:0.018;проезд:0.017;дорога:0.017;отремонтировать:0.015
sbj5;год:0.074;это:0.058;асфальт:0.046;сделать:0.033;работа:0.022;каждый:0.021;наш:0.016;новый:0.014;еще:0.011;должный:0.011
sbj6;дом:0.15;двор:0.051;невозможно:0.042;большой:0.033;далее:0.029;пройти:0.027;огромный:0.025;подъезд:0.024;лужа:0.023;образоваться:0.02
sbj7;район:0.072;казань:0.054;заявка:0.05;решить:0.045;муниципальный:0.036;округ:0.033;татарстан:0.031;город:0.029;благоустройство:0.028;городской:0.026
sbj8;необходимый:0.078;установить:0.035;фонарь:0.031;освещение:0.03;возле:0.029;дерево:0.024;отсутствовать:0.022;время:0.021;восстановить:0.019;опасный:0.018
sbj9;территория:0.069;место:0.034;дать:0.026;привести:0.023;данный:0.022;парковка:0.019;житель:0.018;магазин:0.018;демонтировать:0.017;земля:0.016
