index;top_0;top_1;top_2;top_3;top_4;top_5;top_6;top_7;top_8;top_9
sbj0;день:0.041;переход:0.032;поликлиника:0.023;врач:0.019;неделя:0.018;запись:0.017;прием:0.015;добрый:0.015;записаться:0.011;спасибо:0.011
sbj1;дорога:0.144;улица:0.096;снег:0.056;машина:0.034;невозможно:0.031;чистить:0.019;проехать:0.018;проезд:0.015;возможно:0.014;автомобиль:0.013
sbj2;мусор:0.069;убрать:0.066;около:0.03;площадка:0.03;остановка:0.026;забор:0.025;газон:0.019;зона:0.017;зеленый:0.016;свалка:0.015
sbj3;тротуар:0.069;ребенок:0.043;часть:0.035;ходить:0.035;очень:0.035;сторона:0.031;пешеходный:0.031;проезжий:0.031;человек:0.029;детский:0.028
sbj4;ям:0.063;ремонт:0.053;асфальт:0.046;участок:0.035;дорожный:0.029;покрытие:0.025;дорога:0.021;отремонтировать:0.018;метр:0.017;перекресток:0.014
sbj5;год:0.082;это:0.064;сделать:0.036;работа:0.023;каждый:0.023;наш:0.017;новый:0.015;должный:0.013;почему:0.012;еще:0.012
sbj6;дом:0.137;весь:0.087;двор:0.045;большой:0.03;далее:0.027;пройти:0.026;огромный:0.023;подъезд:0.022;лужа:0.021;состояние:0.021
sbj7;район:0.072;казань:0.056;заявка:0.05;решить:0.046;муниципальный:0.038;округ:0.035;татарстан:0.034;благоустройство:0.028;городской:0.027;приволжский:0.027
sbj8;необходимый:0.078;установить:0.034;фонарь:0.03;освещение:0.03;возле:0.027;отсутствовать:0.024;время:0.023;дерево:0.022;восстановить:0.019;опасный:0.017
sbj9;просить:0.126;территория:0.058;принять:0.033;место:0.029;дать:0.023;данный:0.019;мера:0.019;привести:0.018;парковка:0.017;житель:0.015
