index;top_0;top_1;top_2;top_3;top_4;top_5;top_6;top_7;top_8;top_9
sbj0;необходимый:0.098;ул:0.095;пешеходный:0.043;часть:0.04;проезжий:0.034;переход:0.029;пешеход:0.024;восстановить:0.024;очистить:0.023;перекресток:0.019
sbj1;остановка:0.067;автобус:0.033;маршрут:0.024;транспорт:0.02;номер:0.016;водитель:0.012;общественный:0.011;стоять:0.01;плата:0.009;ехать:0.009
sbj2;мусор:0.064;установить:0.061;убрать:0.053;знак:0.032;место:0.03;около:0.027;движение:0.021;забор:0.021;газон:0.017;зона:0.016
sbj3;тротуар:0.073;ребенок:0.047;очень:0.044;ходить:0.039;человек:0.034;детский:0.032;грязь:0.03;вдоль:0.026;площадка:0.025;школа:0.022
sbj4;дорога:0.136;ям:0.052;ремонт:0.041;асфальт:0.038;дорожный:0.029;участок:0.026;покрытие:0.021;состояние:0.017;проезд:0.016;дорога:0.016
sbj5;год:0.084;это:0.067;просьба:0.046;сделать:0.04;работа:0.027;демонтировать:0.02;еще:0.012;почему:0.012;фото:0.012;нормальный:0.01
sbj6;дом:0.099;улица:0.09;весь:0.058;двор:0.033;машина:0.027;невозможно:0.024;большой:0.023;снег:0.02;подъезд:0.017;огромный:0.016
sbj7;район:0.072;казань:0.066;заявка:0.046;решить:0.043;округ:0.042;татарстан:0.033;приволжский:0.033;благоустройство:0.032;городской:0.03;муниципальный:0.026
sbj8;освещение:0.035;фонарь:0.035;мочь:0.031;возле:0.031;отсутствовать:0.029;время:0.028;дерево:0.026;требовать:0.021;столб:0.02;опасный:0.02
sbj9;просить:0.128;территория:0.059;принять:0.028;дать:0.025;данный:0.02;привести:0.019;мера:0.017;парковка:0.015;житель:0.015;магазин:0.014
