index;top_0;top_1;top_2;top_3;top_4;top_5;top_6;top_7;top_8;top_9
sbj0;необходимый:0.106;ул:0.096;пешеходный:0.045;часть:0.04;проезжий:0.035;очистить:0.031;переход:0.03;вдоль:0.028;пешеход:0.025;восстановить:0.024
sbj1;мусор:0.074;территория:0.073;около:0.031;подъезд:0.03;свалка:0.017;контейнер:0.016;мусорный:0.014;лежать:0.013;уборка:0.012;мусор:0.012
sbj2;сторона:0.054;знак:0.042;остановка:0.042;время:0.038;рекламный:0.033;автомобиль:0.026;движение:0.024;должный:0.024;конструкция:0.022;проспект:0.016
sbj3;тротуар:0.067;ребенок:0.041;очень:0.037;ходить:0.034;сделать:0.033;детский:0.028;человек:0.028;грязь:0.027;площадка:0.022;школа:0.02
sbj4;дорога:0.136;ям:0.053;ремонт:0.04;асфальт:0.038;дорожный:0.03;участок:0.026;покрытие:0.021;состояние:0.017;дорога:0.016;проезд:0.015
sbj5;год:0.118;просьба:0.073;демонтировать:0.049;реклама:0.037;работа:0.035;незаконный:0.025;реклама:0.023;устранить:0.017;нарушение:0.016;указанный:0.015
sbj6;весь:0.069;двор:0.041;машина:0.033;невозможно:0.029;большой:0.027;снег:0.025;огромный:0.019;лужа:0.019;пройти:0.019;дождь:0.018
sbj7;улица:0.132;район:0.061;казань:0.06;заявка:0.041;решить:0.037;округ:0.037;благоустройство:0.03;татарстан:0.029;приволжский:0.029;городской:0.028
sbj8;убрать:0.055;установить:0.049;освещение:0.035;фонарь:0.034;возле:0.029;мочь:0.028;отсутствовать:0.025;столб:0.025;дерево:0.025;требовать:0.019
sbj9;просить:0.124;принять:0.027;место:0.027;дать:0.024;забор:0.02;данный:0.018;привести:0.018;мера:0.017;газон:0.016;парковка:0.015
