index;top_0;top_1;top_2;top_3;top_4;top_5;top_6;top_7;top_8;top_9
sbj0;ул:0.111;пешеходный:0.05;часть:0.045;проезжий:0.039;переход:0.033;пешеход:0.028;восстановить:0.028;перекресток:0.022;люк:0.02;дорожка:0.019
sbj1;сторона:0.062;остановка:0.057;автобус:0.025;маршрут:0.019;транспорт:0.018;проспект:0.018;номер:0.014;водитель:0.01;общественный:0.009;стоять:0.009
sbj2;мусор:0.079;убрать:0.057;знак:0.034;вдоль:0.034;около:0.032;свалка:0.026;забор:0.022;газон:0.019;зона:0.017;зеленый:0.016
sbj3;тротуар:0.074;ребенок:0.046;очень:0.043;ходить:0.039;человек:0.033;детский:0.031;грязь:0.03;площадка:0.025;очистить:0.023;школа:0.023
sbj4;дорога:0.139;ям:0.053;ремонт:0.041;асфальт:0.039;дорожный:0.029;участок:0.027;покрытие:0.021;состояние:0.017;проезд:0.016;дорога:0.016
sbj5;год:0.084;это:0.065;просьба:0.045;сделать:0.039;работа:0.027;демонтировать:0.02;еще:0.012;фото:0.012;почему:0.011;проблема:0.009
sbj6;дом:0.1;улица:0.09;весь:0.058;двор:0.033;машина:0.027;невозможно:0.023;большой:0.023;снег:0.021;далее:0.019;подъезд:0.017
sbj7;район:0.072;казань:0.066;заявка:0.047;решить:0.043;округ:0.043;татарстан:0.034;приволжский:0.033;благоустройство:0.032;городской:0.031;муниципальный:0.027
sbj8;необходимый:0.086;установить:0.048;освещение:0.032;фонарь:0.031;возле:0.028;отсутствовать:0.025;время:0.024;дерево:0.023;требовать:0.019;нужно:0.019
sbj9;просить:0.12;территория:0.056;принять:0.027;дать:0.024;данный:0.018;привести:0.018;мера:0.017;парковка:0.014;житель:0.014;магазин:0.014
