index;top_0;top_1;top_2;top_3;top_4;top_5;top_6;top_7;top_8;top_9
sbj0;необходимый:0.096;ул:0.094;пешеходный:0.042;часть:0.039;проезжий:0.033;переход:0.028;пешеход:0.024;восстановить:0.023;очистить:0.023;перекресток:0.018
sbj1;остановка:0.065;сторона:0.06;автобус:0.031;маршрут:0.023;транспорт:0.019;проспект:0.018;номер:0.015;водитель:0.011;общественный:0.01;победа:0.01
sbj2;мусор:0.064;установить:0.06;убрать:0.052;знак:0.032;место:0.03;около:0.027;движение:0.021;забор:0.021;автомобиль:0.019;газон:0.017
sbj3;тротуар:0.074;ребенок:0.047;очень:0.044;ходить:0.04;человек:0.034;детский:0.031;грязь:0.031;вдоль:0.026;площадка:0.025;школа:0.023
sbj4;дорога:0.14;ям:0.054;ремонт:0.041;асфальт:0.039;дорожный:0.029;участок:0.027;покрытие:0.021;состояние:0.018;проезд:0.016;дорога:0.016
sbj5;год:0.084;это:0.067;просьба:0.046;сделать:0.04;работа:0.027;демонтировать:0.02;еще:0.012;фото:0.012;почему:0.011;нормальный:0.01
sbj6;дом:0.098;улица:0.089;весь:0.058;двор:0.032;машина:0.026;невозможно:0.024;большой:0.022;снег:0.02;подъезд:0.016;огромный:0.016
sbj7;район:0.072;казань:0.066;заявка:0.046;решить:0.043;округ:0.042;татарстан:0.033;приволжский:0.033;благоустройство:0.032;городской:0.03;муниципальный:0.026
sbj8;освещение:0.036;фонарь:0.036;возле:0.032;мочь:0.032;отсутствовать:0.03;дерево:0.027;требовать:0.022;столб:0.021;опасный:0.021;напротив:0.018
sbj9;просить:0.126;территория:0.058;принять:0.028;дать:0.025;данный:0.019;привести:0.019;мера:0.017;парковка:0.015;житель:0.015;магазин:0.014
