index;top_0;top_1;top_2;top_3;top_4;top_5;top_6;top_7;top_8;top_9
sbj0;ул:0.115;пешеходный:0.061;переход:0.045;часть:0.044;проезжий:0.039;пешеход:0.033;далее:0.032;напротив:0.021;дорожка:0.018;разметка:0.011
sbj1;мусор:0.078;убрать:0.069;подъезд:0.034;около:0.034;газон:0.021;свалка:0.018;контейнер:0.016;мусорный:0.015;лежать:0.014;уборка:0.012
sbj2;установить:0.06;знак:0.058;сторона:0.045;движение:0.027;остановка:0.025;перекресток:0.024;автомобиль:0.021;проезд:0.02;светофор:0.016;проспект:0.014
sbj3;тротуар:0.071;ребенок:0.049;очень:0.042;ходить:0.037;человек:0.032;детский:0.032;грязь:0.028;вдоль:0.026;площадка:0.025;школа:0.024
sbj4;ремонт:0.071;дорожный:0.064;покрытие:0.033;восстановить:0.03;состояние:0.029;дорога:0.027;забор:0.025;отремонтировать:0.024;требоваться:0.02;колодец:0.016
sbj5;год:0.074;это:0.058;асфальт:0.044;сделать:0.036;работа:0.023;день:0.019;каждый:0.019;новый:0.015;наш:0.014;должный:0.012
sbj6;дорога:0.125;дом:0.1;весь:0.054;ям:0.044;двор:0.033;машина:0.031;большой:0.023;невозможно:0.022;снег:0.019;огромный:0.015
sbj7;улица:0.113;район:0.056;казань:0.053;территория:0.051;заявка:0.038;решить:0.036;округ:0.033;татарстан:0.029;благоустройство:0.027;приволжский:0.026
sbj8;необходимый:0.094;освещение:0.033;фонарь:0.033;возле:0.031;мочь:0.03;отсутствовать:0.029;время:0.027;дерево:0.025;требовать:0.022;опасный:0.021
sbj9;просить:0.122;место:0.029;принять:0.027;дать:0.026;данный:0.019;привести:0.018;мера:0.018;парковка:0.017;адрес:0.016;зона:0.016
