index;top_0;top_1;top_2;top_3;top_4;top_5;top_6;top_7;top_8;top_9
sbj0;ул:0.108;пешеходный:0.049;часть:0.044;проезжий:0.038;переход:0.032;пешеход:0.027;восстановить:0.027;перекресток:0.021;люк:0.02;дорожка:0.018
sbj1;сторона:0.061;остановка:0.057;автобус:0.025;маршрут:0.019;транспорт:0.018;проспект:0.018;номер:0.014;водитель:0.01;общественный:0.009;плата:0.009
sbj2;мусор:0.079;убрать:0.057;знак:0.034;вдоль:0.033;около:0.032;свалка:0.026;забор:0.022;газон:0.019;зона:0.017;зеленый:0.016
sbj3;тротуар:0.075;ребенок:0.047;очень:0.043;ходить:0.04;человек:0.034;детский:0.032;грязь:0.031;площадка:0.025;очистить:0.023;школа:0.023
sbj4;дорога:0.139;ям:0.053;ремонт:0.041;асфальт:0.039;дорожный:0.029;участок:0.027;покрытие:0.021;состояние:0.017;проезд:0.016;дорога:0.016
sbj5;год:0.084;это:0.066;просьба:0.045;сделать:0.04;работа:0.027;демонтировать:0.02;еще:0.012;фото:0.012;почему:0.011;проблема:0.01
sbj6;дом:0.1;улица:0.091;весь:0.058;двор:0.033;машина:0.027;невозможно:0.024;большой:0.023;снег:0.021;далее:0.019;подъезд:0.017
sbj7;район:0.072;казань:0.066;заявка:0.047;решить:0.043;округ:0.043;татарстан:0.033;приволжский:0.033;благоустройство:0.032;городской:0.03;муниципальный:0.027
sbj8;необходимый:0.085;установить:0.048;освещение:0.031;фонарь:0.031;возле:0.028;мочь:0.027;отсутствовать:0.025;время:0.024;дерево:0.023;требовать:0.019
sbj9;просить:0.122;территория:0.057;принять:0.028;дать:0.024;данный:0.018;привести:0.018;мера:0.017;житель:0.014;парковка:0.014;магазин:0.014
