index;Исполнительный комитет;Администрация;Министерство здравоохранения;Муниципальное образование город;Управление административно технической инспекции;Комитет жилищно коммунального хозяйства;Комитет внешнего благоустройства;ООО Твои мобильные технологии;МБУ Дирекция парков скверов;Министерство внутренних дел;Управление Роспотребнадзор по РТрт;Управление наружной рекламы информации Исполнительного комитета муниципального образования города;Комитет по транспорту;Министерство спорта;Министерство транспорта дорожного хозяйства;ООО Управляющая компания Уютный дом;Исполнительный комитет Елабуга;Управление Роспотребнадзор;МУП Метроэлектротранс;Комитет земельных имущественных отношений;Комитет потребительского рынка;Государственное казенное учреждение Главное управление содержания развития дорожно транспортного комплекса при Министерстве транспорта дорожного хозяйства;Управление образования ИКМО;Комитет физической культуры спорта;МКУ Организатор пассажирских перевозок;Управление капитального строительства реконструкции;МКУ Автоматизированная система управления дорожным движением;Исполнительный комитет Казани;УФПС Татарстан Почтасы филиал ФГУП Почта России;ПАО МегаФон;Центральное территориальное управление Минэкологии;Неизвестный исполнитель;ООО УК ЖКХ;ООО Скартел;Управление информационных технологий связи;Административная комиссия Казани;МКУ Организатор городского парковочного пространства;ПАО Мобильные ТелеСистемы;Управление культуры;Министерство цифрового развития государственного управления информационных технологий связи;Управление Росприроднадзора;Закамское Территориальное Управление МЭПР РТ;Министерство строительства архитектуры жилищно коммунального хозяйства;ПАТП;ООО Мобайл;Волжско Камское территориальное управление МЭПР;Комитет по охране объектов культурного нaследия;ПАО ВымпелКом;Управление градостроительных разрешений;Прикамское территориальное управление МЭПР;Филиал РТРС РТПЦ;Министерство культуры;МУП Пассажирское автотранспортное предприятие Казань ул Крылова;Муниципальное Учреждение Исполнительный комитет;Инспекция Государственного строительного надзора;Управление архитектуры градостроительства;Министерство земельных имущественных отношений;ФГБОУ ВО Поволжская академия физической культуры спорта туризма;Управление Федеральной антимонопольной службы;Министерство лесного хозяйства;Администрация администрация;Администрация администрация ;Муниципальное казенное учреждение Управление по организации ритуальных услуг Исполнительного комитета муниципального образования города;ООО УК Старый город;Служба поддержки;Заволжское территориальное управление МЭПР;Министерство труда занятости социальной защиты;Министерство информатизации связи;Управление наружной рекламы информации;ГУ Управление Государственной безопасности дорожного движения МВД;Дирекция парков скверов Казани;Администрацияное инвестиционно строительное Управление;Юго Восточное территориальное управление МЭПР;Управление Федеральной службы по ветеринарному фитосанитарному надзору;УФПС Татарстан Почтасы;МКУ Автоматизированная система управления дорожным движением Казани;МКУ Управление наружной рекламы информации ИКМО;Приикское территориальное управление МЭПР;Министерство по делам гражданской обороны чрезвычайным ситуациям;Министерство экологии природных ресурсов;Северное территориальное управление МЭПР;Палата земельных имущественных отношений Альметьевского МР РТ
sbj0;0.316;0.296;0.026;0.15;0.013;0.031;0.028;0.001;0.008;0.0;0.0;0.009;0.023;0.0;0.002;0.014;0.01;0.006;0.005;0.003;0.002;0.003;0.003;0.0;0.0;0.0;0.02;0.002;0.0;0.0;0.001;0.002;0.004;0.0;0.005;0.0;0.001;0.001;0.0;0.001;0.001;0.002;0.001;0.001;0.0;0.0;0.0;0.001;0.0;0.002;0.001;0.0;0.0;0.001;0.0;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj1;0.271;0.313;0.026;0.138;0.019;0.036;0.036;0.002;0.007;0.001;0.001;0.011;0.033;0.0;0.003;0.019;0.007;0.004;0.008;0.006;0.004;0.008;0.002;0.001;0.005;0.002;0.02;0.001;0.002;0.001;0.002;0.003;0.002;0.0;0.002;0.001;0.0;0.001;0.001;0.002;0.0;0.001;0.0;0.001;0.0;0.0;0.001;0.0;0.001;0.001;0.0;0.0;0.0;0.0;0.0;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj2;0.29;0.312;0.018;0.133;0.011;0.05;0.036;0.0;0.004;0.007;0.0;0.004;0.018;0.0;0.004;0.014;0.007;0.0;0.011;0.0;0.0;0.018;0.0;0.0;0.004;0.0;0.018;0.004;0.004;0.0;0.0;0.004;0.0;0.0;0.007;0.0;0.004;0.004;0.0;0.004;0.0;0.004;0.0;0.0;0.004;0.0;0.0;0.0;0.004;0.0;0.0;0.0;0.004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj3;0.312;0.285;0.026;0.153;0.019;0.037;0.022;0.002;0.001;0.0;0.0;0.007;0.03;0.001;0.001;0.02;0.011;0.005;0.009;0.002;0.0;0.011;0.001;0.0;0.002;0.0;0.012;0.001;0.002;0.0;0.005;0.005;0.005;0.001;0.0;0.0;0.0;0.0;0.0;0.001;0.001;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001;0.001;0.0;0.0;0.001;0.0;0.0;0.0;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj4;0.281;0.318;0.019;0.146;0.014;0.042;0.042;0.001;0.006;0.002;0.0;0.006;0.026;0.0;0.001;0.016;0.004;0.003;0.005;0.003;0.003;0.018;0.004;0.002;0.002;0.001;0.008;0.001;0.002;0.001;0.004;0.003;0.003;0.001;0.004;0.001;0.0;0.0;0.001;0.002;0.0;0.0;0.001;0.001;0.001;0.0;0.0;0.002;0.0;0.0;0.0;0.0;0.002;0.0;0.0;0.001;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj5;0.291;0.306;0.016;0.151;0.013;0.036;0.03;0.0;0.006;0.0;0.0;0.007;0.021;0.0;0.001;0.03;0.003;0.007;0.01;0.0;0.007;0.007;0.003;0.0;0.001;0.0;0.018;0.006;0.001;0.001;0.004;0.003;0.003;0.0;0.001;0.0;0.001;0.0;0.0;0.004;0.0;0.001;0.001;0.0;0.0;0.001;0.0;0.001;0.0;0.0;0.0;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj6;0.287;0.295;0.019;0.151;0.018;0.05;0.033;0.003;0.004;0.0;0.0;0.007;0.023;0.0;0.003;0.011;0.01;0.004;0.01;0.0;0.003;0.014;0.003;0.0;0.003;0.0;0.015;0.0;0.004;0.0;0.007;0.008;0.004;0.0;0.003;0.0;0.001;0.001;0.0;0.001;0.001;0.0;0.0;0.0;0.001;0.0;0.0;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001;0.0;0.0;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj7;0.242;0.403;0.032;0.161;0.032;0.048;0.048;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.032;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj8;0.298;0.278;0.024;0.151;0.024;0.036;0.028;0.0;0.004;0.0;0.0;0.0;0.036;0.0;0.004;0.004;0.012;0.004;0.004;0.008;0.0;0.02;0.004;0.0;0.0;0.0;0.024;0.004;0.012;0.0;0.0;0.0;0.008;0.0;0.004;0.0;0.0;0.0;0.0;0.004;0.0;0.0;0.004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sbj9;0.325;0.316;0.009;0.118;0.014;0.03;0.036;0.007;0.007;0.0;0.0;0.011;0.039;0.0;0.002;0.016;0.005;0.009;0.009;0.0;0.002;0.011;0.002;0.0;0.002;0.0;0.011;0.0;0.002;0.0;0.002;0.007;0.005;0.0;0.002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
