index;top_0;top_1;top_2;top_3;top_4;top_5;top_6;top_7;top_8;top_9
sbj0;ул:0.098;необходимый:0.086;часть:0.046;проезжий:0.04;пешеходный:0.04;сторона:0.039;очистить:0.033;вдоль:0.031;далее:0.028;остановка:0.023
sbj1;дорога:0.138;улица:0.088;снег:0.064;машина:0.033;невозможно:0.027;мочь:0.022;чистить:0.021;проехать:0.017;проезд:0.015;автомобиль:0.013
sbj2;убрать:0.073;мусор:0.072;около:0.033;забор:0.026;газон:0.021;зона:0.018;зеленый:0.016;свалка:0.016;контейнер:0.016;мусорный:0.014
sbj3;тротуар:0.093;ребенок:0.047;ходить:0.045;очень:0.042;человек:0.035;детский:0.031;грязь:0.029;пешеход:0.026;площадка:0.024;школа:0.024
sbj4;ям:0.071;ремонт:0.056;участок:0.037;дорожный:0.033;покрытие:0.028;дорога:0.025;состояние:0.024;отремонтировать:0.02;метр:0.02;находиться:0.018
sbj5;год:0.074;это:0.057;асфальт:0.045;сделать:0.032;каждый:0.021;работа:0.021;наш:0.015;новый:0.013;должный:0.012;еще:0.011
sbj6;весь:0.106;двор:0.057;большой:0.038;пройти:0.032;огромный:0.028;подъезд:0.027;лужа:0.026;образоваться:0.026;день:0.025;дождь:0.023
sbj7;район:0.072;казань:0.056;заявка:0.051;решить:0.045;муниципальный:0.037;округ:0.034;татарстан:0.032;город:0.029;благоустройство:0.028;приволжский:0.026
sbj8;установить:0.041;освещение:0.035;фонарь:0.035;возле:0.034;дерево:0.027;отсутствовать:0.025;время:0.024;опасный:0.021;столб:0.019;требовать:0.018
sbj9;просить:0.131;территория:0.058;принять:0.032;место:0.03;дать:0.024;привести:0.02;данный:0.02;мера:0.019;парковка:0.018;магазин:0.016
