" |text сильный колейность перепад полоса дорога мензелинский тракт сторона дорога направление город фку волго вятскуправтодор вообще нибыть собираться делать это участва дорога кольцо кольцо есдить невозможно нормальный загруженность дорога высокий"
" |text разделительный полоса большой сугроб который мешать автомобилист плохой обзор дорога разворот возмодить дтп никакой видимость пожалуйста убрать"
" |text необходимый маскимальный выровнить данный участок дорога возможно средство постройка мост съезд склад татспиртпром дать участок подъем часто происходить дтп зимний период застревать фура подъем"
" |text очистить проезжий часть грязь точный местоположение нарушение указать карта"
" |text год заявка ремонт сделать весь равно некачественно человек каждый день рисковать жизнь передвигаться работа вечером ночью объезжать ям просить сделать качественный ремонт короткий срок сколько рисковать вкладываться подвеска автомобиль"
" |text заезжать татарстан самарский область ужас ехать дорога весь дорога черемшан ям глядеть колесо пробить хваленый татарстанский дорога позор просить привести дорожный полотно нормальный состояние"
" |text замелекесье адрес нур баян далее школа номер напротив дом обезобразить тротуар ходить ребенок грязь недопустимый принять мера устранение мера соблюдение надлежащий состояние тротуар ведущий школа"
" |text дорожный полотно соответствовать норма"
" |text дорожный полотно соответствовать норма участок трасса р поворот лениногорск подъем леса около километр"
" |text очистить это весь таки федеральный трасса"
" |text полностью разбитый дорога"
" |text очень узкий разбитый участок дорога въезд кольцо сторона уфа просить расшинить заасфальтировать данный участок дорога это участок образовываться ежедневный километровый пробка"
" |text вид высокий концентрация дтп участок дорога метр поворот далее ивановский зеленодольский район рт просить сделать освещение это участок темный время сутки"
" |text местный дорога поворот казанский проспект сармановский тракт сразу азс татнефтепродукт сармановский тракт ям дорога возможно ездить это небольшой участок дорога давно ремонтировать"
" |text автомобиль выезжать заезжать прилегать территория кафе гостиница опасный пересекать оживленный трасса установить металлический отбойник безопасность"
" |text весь протяжение дать дорога бси нижний суыксова разбитый дорога ям ям"
" |text полоса разгон правый полоса мензелинский тракт сторона ремдизель центр риат мб орловка плачевный состояние ям выбоина провести ремонт стыдно федеральный трасса состояние образ еще проверка прислать"
" |text дать участок дорога подъем гора дорожный покрытие иметь ровность колея просьба короткий срок решить заявка данный участок дорога аврийный опасный"
" |text просьба убрать мусор газон автомобильный дорога стыдно федеральный трасса содержание"
" |text просьба убрать мусор наносный грунт автомобильный дорога стыдно федеральный трасса содержание"
" |text дорожный развязка метр дорога который вести оэз алабуг конец положить асфальт некоторый место"
" |text это обочина федеральный дорога метр убрать позор мусор местоположение точный указать карта"
" |text очистить асфальт грязнуть вести потеря управляемость автомобиль"
" |text поворот челны нижнекамск эстакада иметь критичный повреждение дорожный полотно именно несколько трещина дорога который негативно влиять эстакада автомобиль который трещина увеличивать процесс проезд исправить ситуация"
" |text стол освещение сильно накрениться вероятность падение"
" |text летом год пройти реконструкция дорога р автобусный остановка канаш поворот деревня метр переход пешеходный переход тротуар прохождение поворот часть дорога однополосный движение добираться пешеход остановка зимой"
" |text дорога нету возможно добираться работа домой асфальт пешком возможно далеко остановка автомобиль изнашиваться постоянно требовать ремонт связь дорога"
" |text р казань оренбург километр бавлы ввиду отсутствие акведук происходить переток ливневый паводковый вод вынос грунт проезжий далее жилой участок вызывать самый подтопление придомовый территория создавать обстановка дтп просить принять мера"
" |text ужасный ям пост весовой контроль трасса метр сторона набережная челны арматура который повредить колесо ям глубокий машина сильно шагать большой шанс развалить паллет это очередь пробка"
" |text уважаемый администрация год казань приволжский район пожалуйста срочно принять мера устранение огромный ям улица центральный возле дом плата салмач ям очень тормозить вялотекущий движение"
" |text дорога ужасный состояние очень ям"
" |text просить отремонтировать ям хотя временно насыпать нибыть высохнуть нормальный заасфальтироваьба год ям существовать благодарный оперативность"
" |text выезд эстакада отбойник слева мешать обзор уступить автомобиль полоса разгон очень опасный выезжать главный дорога особенно легковой авто рассмотреть данный проблема влиять безопасность дорожный движение изменить высота"
" |text улица нефтяник большой ям просить немедленно решить вопрос двигаться дорога попасть ям пробить колесо почему налогоплательщик должный расплачиваться ущерб"
" |text ужасный дорога поворот черемшанский район езда сторона заинск починить разбомбить дорога причем кусок плохой остальной место дорога новый асфальт"
" |text улица габишева дом перекресток улица завойский заасфальтировать тротуар дождь снег приходиться идти дорога остановка сторона дорога перекресток габишева завойский дом номер вообще невозможно пройти"
" |text просить отремонтировать дорожный покрытие"
" |text город кукмор переезд аварийный состояние безопасность отсутствовать просить принять мера замена дорожный полотно переезд"
" |text трубеоваться ямочный ремонт мост объезжать ям автомобиль выезжать встреча создавать аварийный ситуация просить принять мера"
