index;top_0;top_1;top_2;top_3;top_4;top_5;top_6;top_7;top_8;top_9
sbj0;необходимый:0.109;пешеходный:0.048;часть:0.044;проезжий:0.037;переход:0.032;пешеход:0.027;восстановить:0.026;очистить:0.026;перекресток:0.021;люк:0.019
sbj1;остановка:0.064;сторона:0.059;автобус:0.031;маршрут:0.023;транспорт:0.019;проспект:0.018;номер:0.015;водитель:0.011;общественный:0.01;стоять:0.009
sbj2;мусор:0.063;установить:0.059;убрать:0.052;знак:0.031;место:0.029;около:0.027;движение:0.021;забор:0.02;автомобиль:0.019;газон:0.017
sbj3;тротуар:0.073;ребенок:0.047;очень:0.043;ходить:0.039;человек:0.034;детский:0.032;грязь:0.03;вдоль:0.026;площадка:0.025;школа:0.022
sbj4;дорога:0.137;ям:0.053;ремонт:0.041;асфальт:0.038;дорожный:0.029;участок:0.027;покрытие:0.021;состояние:0.018;проезд:0.016;дорога:0.016
sbj5;год:0.084;это:0.067;просьба:0.046;сделать:0.04;работа:0.027;демонтировать:0.02;еще:0.012;фото:0.012;почему:0.012;нормальный:0.01
sbj6;дом:0.099;улица:0.089;весь:0.058;двор:0.032;машина:0.026;невозможно:0.024;большой:0.022;снег:0.02;подъезд:0.016;огромный:0.016
sbj7;район:0.071;казань:0.066;заявка:0.046;решить:0.043;округ:0.042;татарстан:0.033;приволжский:0.033;благоустройство:0.032;городской:0.03;муниципальный:0.026
sbj8;освещение:0.036;фонарь:0.035;возле:0.031;мочь:0.031;отсутствовать:0.029;время:0.028;дерево:0.026;требовать:0.021;столб:0.021;опасный:0.02
sbj9;просить:0.13;территория:0.06;принять:0.029;дать:0.026;данный:0.02;привести:0.02;мера:0.018;парковка:0.015;магазин:0.014;земля:0.013
